"altersgruppe","freq","date"
"<5",53,2020-04-05 00:00:00
"5-14",270,2020-04-05 00:00:00
"15-24",1098,2020-04-05 00:00:00
"25-34",1686,2020-04-05 00:00:00
"35-44",1709,2020-04-05 00:00:00
"45-54",2508,2020-04-05 00:00:00
"55-64",2009,2020-04-05 00:00:00
">64",2433,2020-04-05 00:00:00
"<5",53,2020-04-05 01:00:00
"5-14",270,2020-04-05 01:00:00
"15-24",1096,2020-04-05 01:00:00
"25-34",1688,2020-04-05 01:00:00
"35-44",1707,2020-04-05 01:00:00
"45-54",2510,2020-04-05 01:00:00
"55-64",2009,2020-04-05 01:00:00
">64",2433,2020-04-05 01:00:00
"<5",53,2020-04-05 02:00:00
"5-14",270,2020-04-05 02:00:00
"15-24",1096,2020-04-05 02:00:00
"25-34",1688,2020-04-05 02:00:00
"35-44",1707,2020-04-05 02:00:00
"45-54",2510,2020-04-05 02:00:00
"55-64",2009,2020-04-05 02:00:00
">64",2433,2020-04-05 02:00:00
"<5",53,2020-04-05 03:00:00
"5-14",270,2020-04-05 03:00:00
"15-24",1096,2020-04-05 03:00:00
"25-34",1688,2020-04-05 03:00:00
"35-44",1707,2020-04-05 03:00:00
"45-54",2510,2020-04-05 03:00:00
"55-64",2009,2020-04-05 03:00:00
">64",2433,2020-04-05 03:00:00
"<5",53,2020-04-05 04:00:00
"5-14",270,2020-04-05 04:00:00
"15-24",1096,2020-04-05 04:00:00
"25-34",1688,2020-04-05 04:00:00
"35-44",1707,2020-04-05 04:00:00
"45-54",2510,2020-04-05 04:00:00
"55-64",2009,2020-04-05 04:00:00
">64",2433,2020-04-05 04:00:00
"<5",53,2020-04-05 05:00:00
"5-14",270,2020-04-05 05:00:00
"15-24",1096,2020-04-05 05:00:00
"25-34",1688,2020-04-05 05:00:00
"35-44",1707,2020-04-05 05:00:00
"45-54",2510,2020-04-05 05:00:00
"55-64",2009,2020-04-05 05:00:00
">64",2433,2020-04-05 05:00:00
"<5",53,2020-04-05 06:00:00
"5-14",270,2020-04-05 06:00:00
"15-24",1096,2020-04-05 06:00:00
"25-34",1688,2020-04-05 06:00:00
"35-44",1707,2020-04-05 06:00:00
"45-54",2510,2020-04-05 06:00:00
"55-64",2009,2020-04-05 06:00:00
">64",2433,2020-04-05 06:00:00
"<5",53,2020-04-05 07:00:00
"5-14",270,2020-04-05 07:00:00
"15-24",1096,2020-04-05 07:00:00
"25-34",1688,2020-04-05 07:00:00
"35-44",1707,2020-04-05 07:00:00
"45-54",2510,2020-04-05 07:00:00
"55-64",2009,2020-04-05 07:00:00
">64",2433,2020-04-05 07:00:00
"<5",53,2020-04-05 08:00:00
"5-14",270,2020-04-05 08:00:00
"15-24",1096,2020-04-05 08:00:00
"25-34",1688,2020-04-05 08:00:00
"35-44",1707,2020-04-05 08:00:00
"45-54",2510,2020-04-05 08:00:00
"55-64",2009,2020-04-05 08:00:00
">64",2434,2020-04-05 08:00:00
"<5",53,2020-04-05 09:00:00
"5-14",270,2020-04-05 09:00:00
"15-24",1096,2020-04-05 09:00:00
"25-34",1688,2020-04-05 09:00:00
"35-44",1707,2020-04-05 09:00:00
"45-54",2511,2020-04-05 09:00:00
"55-64",2009,2020-04-05 09:00:00
">64",2436,2020-04-05 09:00:00
"<5",54,2020-04-05 10:00:00
"5-14",273,2020-04-05 10:00:00
"15-24",1098,2020-04-05 10:00:00
"25-34",1698,2020-04-05 10:00:00
"35-44",1712,2020-04-05 10:00:00
"45-54",2522,2020-04-05 10:00:00
"55-64",2018,2020-04-05 10:00:00
">64",2446,2020-04-05 10:00:00
"<5",54,2020-04-05 11:00:00
"5-14",273,2020-04-05 11:00:00
"15-24",1099,2020-04-05 11:00:00
"25-34",1700,2020-04-05 11:00:00
"35-44",1712,2020-04-05 11:00:00
"45-54",2524,2020-04-05 11:00:00
"55-64",2021,2020-04-05 11:00:00
">64",2448,2020-04-05 11:00:00
"<5",54,2020-04-05 12:00:00
"5-14",273,2020-04-05 12:00:00
"15-24",1100,2020-04-05 12:00:00
"25-34",1701,2020-04-05 12:00:00
"35-44",1718,2020-04-05 12:00:00
"45-54",2525,2020-04-05 12:00:00
"55-64",2023,2020-04-05 12:00:00
">64",2456,2020-04-05 12:00:00
"<5",54,2020-04-05 13:00:00
"5-14",274,2020-04-05 13:00:00
"15-24",1100,2020-04-05 13:00:00
"25-34",1704,2020-04-05 13:00:00
"35-44",1720,2020-04-05 13:00:00
"45-54",2526,2020-04-05 13:00:00
"55-64",2024,2020-04-05 13:00:00
">64",2459,2020-04-05 13:00:00
"<5",54,2020-04-05 14:00:00
"5-14",274,2020-04-05 14:00:00
"15-24",1102,2020-04-05 14:00:00
"25-34",1711,2020-04-05 14:00:00
"35-44",1726,2020-04-05 14:00:00
"45-54",2537,2020-04-05 14:00:00
"55-64",2028,2020-04-05 14:00:00
">64",2465,2020-04-05 14:00:00
"<5",54,2020-04-05 15:00:00
"5-14",275,2020-04-05 15:00:00
"15-24",1103,2020-04-05 15:00:00
"25-34",1713,2020-04-05 15:00:00
"35-44",1728,2020-04-05 15:00:00
"45-54",2539,2020-04-05 15:00:00
"55-64",2029,2020-04-05 15:00:00
">64",2466,2020-04-05 15:00:00
"<5",54,2020-04-05 16:00:00
"5-14",276,2020-04-05 16:00:00
"15-24",1103,2020-04-05 16:00:00
"25-34",1715,2020-04-05 16:00:00
"35-44",1729,2020-04-05 16:00:00
"45-54",2543,2020-04-05 16:00:00
"55-64",2032,2020-04-05 16:00:00
">64",2468,2020-04-05 16:00:00
"<5",54,2020-04-05 17:00:00
"5-14",276,2020-04-05 17:00:00
"15-24",1107,2020-04-05 17:00:00
"25-34",1715,2020-04-05 17:00:00
"35-44",1731,2020-04-05 17:00:00
"45-54",2544,2020-04-05 17:00:00
"55-64",2033,2020-04-05 17:00:00
">64",2470,2020-04-05 17:00:00
"<5",54,2020-04-05 18:00:00
