"altersgruppe","freq","date"
"<5",39,2020-03-30 00:00:00
"5-14",186,2020-03-30 00:00:00
"15-24",803,2020-03-30 00:00:00
"25-34",1308,2020-03-30 00:00:00
"35-44",1300,2020-03-30 00:00:00
"45-54",1891,2020-03-30 00:00:00
"55-64",1539,2020-03-30 00:00:00
">64",1722,2020-03-30 00:00:00
"<5",39,2020-03-30 01:00:00
"5-14",186,2020-03-30 01:00:00
"15-24",803,2020-03-30 01:00:00
"25-34",1308,2020-03-30 01:00:00
"35-44",1299,2020-03-30 01:00:00
"45-54",1891,2020-03-30 01:00:00
"55-64",1539,2020-03-30 01:00:00
">64",1723,2020-03-30 01:00:00
"<5",39,2020-03-30 02:00:00
"5-14",186,2020-03-30 02:00:00
"15-24",803,2020-03-30 02:00:00
"25-34",1308,2020-03-30 02:00:00
"35-44",1299,2020-03-30 02:00:00
"45-54",1891,2020-03-30 02:00:00
"55-64",1539,2020-03-30 02:00:00
">64",1723,2020-03-30 02:00:00
"<5",39,2020-03-30 03:00:00
"5-14",186,2020-03-30 03:00:00
"15-24",803,2020-03-30 03:00:00
"25-34",1308,2020-03-30 03:00:00
"35-44",1299,2020-03-30 03:00:00
"45-54",1891,2020-03-30 03:00:00
"55-64",1539,2020-03-30 03:00:00
">64",1723,2020-03-30 03:00:00
"<5",39,2020-03-30 04:00:00
"5-14",186,2020-03-30 04:00:00
"15-24",803,2020-03-30 04:00:00
"25-34",1308,2020-03-30 04:00:00
"35-44",1299,2020-03-30 04:00:00
"45-54",1891,2020-03-30 04:00:00
"55-64",1539,2020-03-30 04:00:00
">64",1723,2020-03-30 04:00:00
"<5",39,2020-03-30 05:00:00
"5-14",186,2020-03-30 05:00:00
"15-24",803,2020-03-30 05:00:00
"25-34",1308,2020-03-30 05:00:00
"35-44",1299,2020-03-30 05:00:00
"45-54",1891,2020-03-30 05:00:00
"55-64",1539,2020-03-30 05:00:00
">64",1723,2020-03-30 05:00:00
"<5",39,2020-03-30 06:00:00
"5-14",186,2020-03-30 06:00:00
"15-24",803,2020-03-30 06:00:00
"25-34",1308,2020-03-30 06:00:00
"35-44",1299,2020-03-30 06:00:00
"45-54",1891,2020-03-30 06:00:00
"55-64",1539,2020-03-30 06:00:00
">64",1723,2020-03-30 06:00:00
"<5",39,2020-03-30 07:00:00
"5-14",186,2020-03-30 07:00:00
"15-24",803,2020-03-30 07:00:00
"25-34",1308,2020-03-30 07:00:00
"35-44",1299,2020-03-30 07:00:00
"45-54",1891,2020-03-30 07:00:00
"55-64",1539,2020-03-30 07:00:00
">64",1723,2020-03-30 07:00:00
"<5",39,2020-03-30 08:00:00
"5-14",186,2020-03-30 08:00:00
"15-24",804,2020-03-30 08:00:00
"25-34",1310,2020-03-30 08:00:00
"35-44",1301,2020-03-30 08:00:00
"45-54",1896,2020-03-30 08:00:00
"55-64",1539,2020-03-30 08:00:00
">64",1738,2020-03-30 08:00:00
"<5",39,2020-03-30 09:00:00
"5-14",188,2020-03-30 09:00:00
"15-24",805,2020-03-30 09:00:00
"25-34",1311,2020-03-30 09:00:00
"35-44",1308,2020-03-30 09:00:00
"45-54",1907,2020-03-30 09:00:00
"55-64",1545,2020-03-30 09:00:00
">64",1764,2020-03-30 09:00:00
"<5",39,2020-03-30 10:00:00
"5-14",193,2020-03-30 10:00:00
"15-24",813,2020-03-30 10:00:00
"25-34",1323,2020-03-30 10:00:00
"35-44",1319,2020-03-30 10:00:00
"45-54",1929,2020-03-30 10:00:00
"55-64",1561,2020-03-30 10:00:00
">64",1781,2020-03-30 10:00:00
"<5",39,2020-03-30 12:00:00
"5-14",194,2020-03-30 12:00:00
"15-24",823,2020-03-30 12:00:00
"25-34",1347,2020-03-30 12:00:00
"35-44",1338,2020-03-30 12:00:00
"45-54",1956,2020-03-30 12:00:00
"55-64",1604,2020-03-30 12:00:00
">64",1802,2020-03-30 12:00:00
"<5",40,2020-03-30 13:00:00
"5-14",196,2020-03-30 13:00:00
"15-24",829,2020-03-30 13:00:00
"25-34",1356,2020-03-30 13:00:00
"35-44",1355,2020-03-30 13:00:00
"45-54",1980,2020-03-30 13:00:00
"55-64",1621,2020-03-30 13:00:00
">64",1823,2020-03-30 13:00:00
"<5",40,2020-03-30 14:00:00
"5-14",198,2020-03-30 14:00:00
"15-24",836,2020-03-30 14:00:00
"25-34",1366,2020-03-30 14:00:00
"35-44",1371,2020-03-30 14:00:00
"45-54",1999,2020-03-30 14:00:00
"55-64",1635,2020-03-30 14:00:00
">64",1854,2020-03-30 14:00:00
"<5",40,2020-03-30 15:00:00
"5-14",198,2020-03-30 15:00:00
"15-24",850,2020-03-30 15:00:00
"25-34",1378,2020-03-30 15:00:00
"35-44",1383,2020-03-30 15:00:00
"45-54",2010,2020-03-30 15:00:00
"55-64",1647,2020-03-30 15:00:00
">64",1871,2020-03-30 15:00:00
"<5",41,2020-03-30 16:00:00
"5-14",200,2020-03-30 16:00:00
"15-24",855,2020-03-30 16:00:00
"25-34",1382,2020-03-30 16:00:00
"35-44",1388,2020-03-30 16:00:00
"45-54",2024,2020-03-30 16:00:00
"55-64",1653,2020-03-30 16:00:00
">64",1881,2020-03-30 16:00:00
"<5",41,2020-03-30 17:00:00
"5-14",200,2020-03-30 17:00:00
"15-24",858,2020-03-30 17:00:00
"25-34",1390,2020-03-30 17:00:00
"35-44",1391,2020-03-30 17:00:00
"45-54",2030,2020-03-30 17:00:00
"55-64",1655,2020-03-30 17:00:00
">64",1889,2020-03-30 17:00:00
"<5",41,2020-03-30 18:00:00
"5-14",203,2020-03-30 18:00:00
"15-24",869,2020-03-30 18:00:00
"25-34",1398,2020-03-30 18:00:00
"35-44",1405,2020-03-30 18:00:00
"45-54",2042,2020-03-30 18:00:00
"55-64",1661,2020-03-30 18:00:00
">64",1901,2020-03-30 18:00:00
"<5",41,2020-03-30 19:00:00
"5-14",203,2020-03-30 19:00:00
"15-24",871,2020-03-30 19:00:00
"25-34",1402,2020-03-30 19:00:00
"35-44",1408,2020-03-30 19:00:00
"45-54",2048,2020-03-30 19:00:00
"55-64",1663,2020-03-30 19:00:00
">64",1905,2020-03-30 19:00:00
"<5",41,2020-03-30 20:00:00
"5-14",204,2020-03-30 20:00:00
"15-24",873,2020-03-30 20:00:00
"25-34",1412,2020-03-30 20:00:00
"35-44",1417,2020-03-30 20:00:00
"45-54",2059,2020-03-30 20:00:00
"55-64",1675,2020-03-30 20:00:00
">64",1916,2020-03-30 20:00:00
"<5",41,2020-03-30 21:00:00
"5-14",204,2020-03-30 21:00:00
"15-24",873,2020-03-30 21:00:00
"25-34",1412,2020-03-30 21:00:00
"35-44",1420,2020-03-30 21:00:00
"45-54",2060,2020-03-30 21:00:00
"55-64",1675,2020-03-30 21:00:00
">64",1918,2020-03-30 21:00:00
"<5",41,2020-03-30 22:00:00
"5-14",204,2020-03-30 22:00:00
"15-24",875,2020-03-30 22:00:00
"25-34",1413,2020-03-30 22:00:00
"35-44",1422,2020-03-30 22:00:00
"45-54",2063,2020-03-30 22:00:00
"55-64",1679,2020-03-30 22:00:00
">64",1921,2020-03-30 22:00:00
"<5",41,2020-03-30 22:59:59
"5-14",204,2020-03-30 22:59:59
"15-24",875,2020-03-30 22:59:59
"25-34",1413,2020-03-30 22:59:59
"35-44",1422,2020-03-30 22:59:59
"45-54",2063,2020-03-30 22:59:59
"55-64",1679,2020-03-30 22:59:59
">64",1921,2020-03-30 22:59:59
