"nuts2";"freq";"date"
7;2222;2020-03-30 18:00:00
8;621;2020-03-30 18:00:00
9;1272;2020-03-30 18:00:00
1;180;2020-03-30 19:00:00
2;267;2020-03-30 19:00:00
3;1540;2020-03-30 19:00:00
4;1560;2020-03-30 19:00:00
5;872;2020-03-30 19:00:00
6;996;2020-03-30 19:00:00
7;2224;2020-03-30 19:00:00
8;626;2020-03-30 19:00:00
9;1276;2020-03-30 19:00:00
1;181;2020-03-30 20:00:00
2;268;2020-03-30 20:00:00
3;1541;2020-03-30 20:00:00
4;1562;2020-03-30 20:00:00
5;895;2020-03-30 20:00:00
6;1001;2020-03-30 20:00:00
7;2229;2020-03-30 20:00:00
8;626;2020-03-30 20:00:00
9;1294;2020-03-30 20:00:00
1;181;2020-03-30 21:00:00
2;268;2020-03-30 21:00:00
3;1541;2020-03-30 21:00:00
4;1562;2020-03-30 21:00:00
5;895;2020-03-30 21:00:00
6;1001;2020-03-30 21:00:00
7;2229;2020-03-30 21:00:00
8;626;2020-03-30 21:00:00
9;1300;2020-03-30 21:00:00
1;181;2020-03-30 22:00:00
2;268;2020-03-30 22:00:00
3;1541;2020-03-30 22:00:00
4;1562;2020-03-30 22:00:00
5;909;2020-03-30 22:00:00
6;1001;2020-03-30 22:00:00
7;2230;2020-03-30 22:00:00
8;626;2020-03-30 22:00:00
9;1300;2020-03-30 22:00:00
1;181;2020-03-30 22:59:59
2;268;2020-03-30 22:59:59
3;1541;2020-03-30 22:59:59
4;1562;2020-03-30 22:59:59
5;909;2020-03-30 22:59:59
6;1001;2020-03-30 22:59:59
7;2230;2020-03-30 22:59:59
8;626;2020-03-30 22:59:59
9;1300;2020-03-30 22:59:59
