"bkz","freq","date"
101,13,2020-04-07 00:00:00
103,20,2020-04-07 00:00:00
104,18,2020-04-07 00:00:00
105,8,2020-04-07 00:00:00
106,32,2020-04-07 00:00:00
107,48,2020-04-07 00:00:00
108,17,2020-04-07 00:00:00
109,76,2020-04-07 00:00:00
201,63,2020-04-07 00:00:00
202,19,2020-04-07 00:00:00
203,1,2020-04-07 00:00:00
204,36,2020-04-07 00:00:00
205,39,2020-04-07 00:00:00
206,34,2020-04-07 00:00:00
207,44,2020-04-07 00:00:00
208,48,2020-04-07 00:00:00
209,35,2020-04-07 00:00:00
210,10,2020-04-07 00:00:00
301,29,2020-04-07 00:00:00
302,68,2020-04-07 00:00:00
303,22,2020-04-07 00:00:00
304,31,2020-04-07 00:00:00
305,228,2020-04-07 00:00:00
306,107,2020-04-07 00:00:00
307,65,2020-04-07 00:00:00
308,64,2020-04-07 00:00:00
309,6,2020-04-07 00:00:00
310,21,2020-04-07 00:00:00
311,26,2020-04-07 00:00:00
312,131,2020-04-07 00:00:00
313,122,2020-04-07 00:00:00
314,38,2020-04-07 00:00:00
315,124,2020-04-07 00:00:00
316,100,2020-04-07 00:00:00
317,134,2020-04-07 00:00:00
318,158,2020-04-07 00:00:00
319,222,2020-04-07 00:00:00
320,98,2020-04-07 00:00:00
321,127,2020-04-07 00:00:00
322,14,2020-04-07 00:00:00
323,38,2020-04-07 00:00:00
325,37,2020-04-07 00:00:00
401,273,2020-04-07 00:00:00
402,42,2020-04-07 00:00:00
403,57,2020-04-07 00:00:00
404,90,2020-04-07 00:00:00
405,41,2020-04-07 00:00:00
406,100,2020-04-07 00:00:00
407,60,2020-04-07 00:00:00
408,63,2020-04-07 00:00:00
409,35,2020-04-07 00:00:00
410,183,2020-04-07 00:00:00
411,239,2020-04-07 00:00:00
412,30,2020-04-07 00:00:00
413,129,2020-04-07 00:00:00
414,49,2020-04-07 00:00:00
415,143,2020-04-07 00:00:00
416,266,2020-04-07 00:00:00
417,100,2020-04-07 00:00:00
418,74,2020-04-07 00:00:00
501,127,2020-04-07 00:00:00
502,59,2020-04-07 00:00:00
503,169,2020-04-07 00:00:00
504,390,2020-04-07 00:00:00
505,19,2020-04-07 00:00:00
506,321,2020-04-07 00:00:00
601,361,2020-04-07 00:00:00
603,32,2020-04-07 00:00:00
606,133,2020-04-07 00:00:00
610,160,2020-04-07 00:00:00
