"altersgruppe","freq","date"
"<5",55,2020-04-07 00:00:00
"5-14",284,2020-04-07 00:00:00
"15-24",1138,2020-04-07 00:00:00
"25-34",1758,2020-04-07 00:00:00
"35-44",1771,2020-04-07 00:00:00
"45-54",2615,2020-04-07 00:00:00
"55-64",2089,2020-04-07 00:00:00
">64",2587,2020-04-07 00:00:00
"<5",55,2020-04-07 01:00:00
"5-14",284,2020-04-07 01:00:00
"15-24",1138,2020-04-07 01:00:00
"25-34",1758,2020-04-07 01:00:00
"35-44",1771,2020-04-07 01:00:00
"45-54",2612,2020-04-07 01:00:00
"55-64",2092,2020-04-07 01:00:00
">64",2587,2020-04-07 01:00:00
"<5",55,2020-04-07 02:00:00
"5-14",284,2020-04-07 02:00:00
"15-24",1138,2020-04-07 02:00:00
"25-34",1758,2020-04-07 02:00:00
"35-44",1771,2020-04-07 02:00:00
"45-54",2612,2020-04-07 02:00:00
"55-64",2092,2020-04-07 02:00:00
">64",2587,2020-04-07 02:00:00
"<5",55,2020-04-07 03:00:00
"5-14",284,2020-04-07 03:00:00
"15-24",1138,2020-04-07 03:00:00
"25-34",1758,2020-04-07 03:00:00
"35-44",1771,2020-04-07 03:00:00
"45-54",2612,2020-04-07 03:00:00
"55-64",2092,2020-04-07 03:00:00
">64",2587,2020-04-07 03:00:00
"<5",55,2020-04-07 03:59:59
"5-14",284,2020-04-07 03:59:59
"15-24",1138,2020-04-07 03:59:59
"25-34",1758,2020-04-07 03:59:59
"35-44",1771,2020-04-07 03:59:59
"45-54",2612,2020-04-07 03:59:59
"55-64",2092,2020-04-07 03:59:59
">64",2587,2020-04-07 03:59:59
"<5",55,2020-04-07 05:00:00
"5-14",284,2020-04-07 05:00:00
"15-24",1138,2020-04-07 05:00:00
"25-34",1758,2020-04-07 05:00:00
"35-44",1771,2020-04-07 05:00:00
"45-54",2612,2020-04-07 05:00:00
"55-64",2092,2020-04-07 05:00:00
">64",2587,2020-04-07 05:00:00
"<5",55,2020-04-07 06:00:00
"5-14",284,2020-04-07 06:00:00
"15-24",1138,2020-04-07 06:00:00
"25-34",1758,2020-04-07 06:00:00
"35-44",1771,2020-04-07 06:00:00
"45-54",2612,2020-04-07 06:00:00
"55-64",2092,2020-04-07 06:00:00
">64",2587,2020-04-07 06:00:00
"<5",55,2020-04-07 07:00:00
"5-14",284,2020-04-07 07:00:00
"15-24",1138,2020-04-07 07:00:00
"25-34",1758,2020-04-07 07:00:00
"35-44",1771,2020-04-07 07:00:00
"45-54",2612,2020-04-07 07:00:00
"55-64",2092,2020-04-07 07:00:00
">64",2587,2020-04-07 07:00:00
"<5",55,2020-04-07 08:00:00
"5-14",284,2020-04-07 08:00:00
"15-24",1144,2020-04-07 08:00:00
"25-34",1764,2020-04-07 08:00:00
"35-44",1773,2020-04-07 08:00:00
"45-54",2623,2020-04-07 08:00:00
"55-64",2096,2020-04-07 08:00:00
">64",2593,2020-04-07 08:00:00
"<5",56,2020-04-07 09:00:00
"5-14",286,2020-04-07 09:00:00
"15-24",1151,2020-04-07 09:00:00
"25-34",1769,2020-04-07 09:00:00
"35-44",1781,2020-04-07 09:00:00
"45-54",2632,2020-04-07 09:00:00
"55-64",2102,2020-04-07 09:00:00
">64",2609,2020-04-07 09:00:00
"<5",56,2020-04-07 10:00:00
"5-14",286,2020-04-07 10:00:00
"15-24",1153,2020-04-07 10:00:00
"25-34",1769,2020-04-07 10:00:00
"35-44",1781,2020-04-07 10:00:00
"45-54",2632,2020-04-07 10:00:00
"55-64",2102,2020-04-07 10:00:00
">64",2611,2020-04-07 10:00:00
"<5",56,2020-04-07 11:00:00
"5-14",286,2020-04-07 11:00:00
"15-24",1157,2020-04-07 11:00:00
"25-34",1769,2020-04-07 11:00:00
"35-44",1781,2020-04-07 11:00:00
"45-54",2637,2020-04-07 11:00:00
"55-64",2102,2020-04-07 11:00:00
">64",2611,2020-04-07 11:00:00
"<5",56,2020-04-07 12:00:00
"5-14",286,2020-04-07 12:00:00
"15-24",1159,2020-04-07 12:00:00
"25-34",1770,2020-04-07 12:00:00
"35-44",1785,2020-04-07 12:00:00
"45-54",2642,2020-04-07 12:00:00
"55-64",2110,2020-04-07 12:00:00
">64",2619,2020-04-07 12:00:00
"<5",56,2020-04-07 12:59:59
"5-14",286,2020-04-07 12:59:59
"15-24",1161,2020-04-07 12:59:59
"25-34",1772,2020-04-07 12:59:59
"35-44",1789,2020-04-07 12:59:59
"45-54",2649,2020-04-07 12:59:59
"55-64",2115,2020-04-07 12:59:59
">64",2633,2020-04-07 12:59:59
"<5",56,2020-04-07 14:00:00
"5-14",286,2020-04-07 14:00:00
"15-24",1166,2020-04-07 14:00:00
"25-34",1777,2020-04-07 14:00:00
"35-44",1793,2020-04-07 14:00:00
"45-54",2656,2020-04-07 14:00:00
"55-64",2117,2020-04-07 14:00:00
">64",2637,2020-04-07 14:00:00
"<5",56,2020-04-07 15:00:00
"5-14",286,2020-04-07 15:00:00
"15-24",1168,2020-04-07 15:00:00
"25-34",1781,2020-04-07 15:00:00
"35-44",1794,2020-04-07 15:00:00
"45-54",2664,2020-04-07 15:00:00
"55-64",2125,2020-04-07 15:00:00
">64",2645,2020-04-07 15:00:00
