"datum","freq"
2020-03-09,152
2020-03-10,217
2020-03-11,325
2020-03-12,453
2020-03-13,643
2020-03-14,827
2020-03-15,1037
2020-03-16,1324
2020-03-17,1674
2020-03-18,2100
2020-03-19,2573
2020-03-20,3115
2020-03-21,3561
2020-03-22,4198
2020-03-23,5013
2020-03-24,5815
2020-03-25,6477
2020-03-26,7439
2020-03-27,8234
2020-03-28,8783
2020-03-29,9245
2020-03-30,9941
2020-03-31,10495
2020-04-01,10979
2020-04-02,11358
2020-04-03,11728
2020-04-04,11993
2020-04-05,12155
2020-04-06,12377
