"nuts2","freq","date"
1,210,2020-04-04 00:00:00
2,307,2020-04-04 00:00:00
3,1831,2020-04-04 00:00:00
4,1868,2020-04-04 00:00:00
5,1057,2020-04-04 00:00:00
6,1226,2020-04-04 00:00:00
7,2633,2020-04-04 00:00:00
8,715,2020-04-04 00:00:00
9,1677,2020-04-04 00:00:00
1,210,2020-04-04 01:00:00
2,307,2020-04-04 01:00:00
3,1831,2020-04-04 01:00:00
4,1868,2020-04-04 01:00:00
5,1057,2020-04-04 01:00:00
6,1226,2020-04-04 01:00:00
7,2633,2020-04-04 01:00:00
8,715,2020-04-04 01:00:00
9,1677,2020-04-04 01:00:00
1,210,2020-04-04 02:00:00
2,307,2020-04-04 02:00:00
3,1831,2020-04-04 02:00:00
4,1868,2020-04-04 02:00:00
5,1057,2020-04-04 02:00:00
6,1226,2020-04-04 02:00:00
7,2633,2020-04-04 02:00:00
8,715,2020-04-04 02:00:00
9,1677,2020-04-04 02:00:00
1,210,2020-04-04 03:00:00
2,307,2020-04-04 03:00:00
3,1831,2020-04-04 03:00:00
4,1868,2020-04-04 03:00:00
5,1057,2020-04-04 03:00:00
6,1226,2020-04-04 03:00:00
7,2633,2020-04-04 03:00:00
8,715,2020-04-04 03:00:00
9,1677,2020-04-04 03:00:00
1,210,2020-04-04 04:00:00
2,307,2020-04-04 04:00:00
3,1831,2020-04-04 04:00:00
4,1868,2020-04-04 04:00:00
5,1057,2020-04-04 04:00:00
6,1226,2020-04-04 04:00:00
7,2633,2020-04-04 04:00:00
8,715,2020-04-04 04:00:00
9,1677,2020-04-04 04:00:00
1,210,2020-04-04 05:00:00
2,307,2020-04-04 05:00:00
3,1831,2020-04-04 05:00:00
4,1868,2020-04-04 05:00:00
5,1057,2020-04-04 05:00:00
6,1226,2020-04-04 05:00:00
7,2633,2020-04-04 05:00:00
8,715,2020-04-04 05:00:00
9,1678,2020-04-04 05:00:00
1,210,2020-04-04 06:00:00
2,307,2020-04-04 06:00:00
3,1831,2020-04-04 06:00:00
4,1868,2020-04-04 06:00:00
5,1057,2020-04-04 06:00:00
6,1226,2020-04-04 06:00:00
7,2633,2020-04-04 06:00:00
8,715,2020-04-04 06:00:00
9,1678,2020-04-04 06:00:00
1,210,2020-04-04 07:00:00
2,307,2020-04-04 07:00:00
3,1831,2020-04-04 07:00:00
4,1868,2020-04-04 07:00:00
5,1057,2020-04-04 07:00:00
6,1226,2020-04-04 07:00:00
7,2633,2020-04-04 07:00:00
8,715,2020-04-04 07:00:00
9,1678,2020-04-04 07:00:00
1,210,2020-04-04 08:00:00
2,307,2020-04-04 08:00:00
3,1831,2020-04-04 08:00:00
4,1868,2020-04-04 08:00:00
5,1057,2020-04-04 08:00:00
6,1226,2020-04-04 08:00:00
7,2633,2020-04-04 08:00:00
8,715,2020-04-04 08:00:00
9,1678,2020-04-04 08:00:00
1,210,2020-04-04 09:00:00
2,307,2020-04-04 09:00:00
3,1835,2020-04-04 09:00:00
4,1869,2020-04-04 09:00:00
5,1058,2020-04-04 09:00:00
6,1226,2020-04-04 09:00:00
7,2643,2020-04-04 09:00:00
8,718,2020-04-04 09:00:00
9,1678,2020-04-04 09:00:00
1,217,2020-04-04 10:00:00
2,307,2020-04-04 10:00:00
3,1862,2020-04-04 10:00:00
4,1869,2020-04-04 10:00:00
5,1058,2020-04-04 10:00:00
6,1234,2020-04-04 10:00:00
7,2645,2020-04-04 10:00:00
8,718,2020-04-04 10:00:00
9,1679,2020-04-04 10:00:00
1,217,2020-04-04 11:00:00
2,307,2020-04-04 11:00:00
3,1862,2020-04-04 11:00:00
4,1875,2020-04-04 11:00:00
5,1058,2020-04-04 11:00:00
6,1237,2020-04-04 11:00:00
7,2651,2020-04-04 11:00:00
8,718,2020-04-04 11:00:00
9,1678,2020-04-04 11:00:00
1,217,2020-04-04 12:00:00
2,308,2020-04-04 12:00:00
3,1862,2020-04-04 12:00:00
4,1876,2020-04-04 12:00:00
5,1058,2020-04-04 12:00:00
6,1237,2020-04-04 12:00:00
7,2652,2020-04-04 12:00:00
8,718,2020-04-04 12:00:00
9,1678,2020-04-04 12:00:00
1,217,2020-04-04 13:00:00
2,308,2020-04-04 13:00:00
3,1862,2020-04-04 13:00:00
4,1881,2020-04-04 13:00:00
5,1058,2020-04-04 13:00:00
6,1237,2020-04-04 13:00:00
7,2652,2020-04-04 13:00:00
8,718,2020-04-04 13:00:00
9,1678,2020-04-04 13:00:00
1,224,2020-04-04 14:00:00
2,310,2020-04-04 14:00:00
3,1863,2020-04-04 14:00:00
4,1888,2020-04-04 14:00:00
5,1058,2020-04-04 14:00:00
6,1249,2020-04-04 14:00:00
7,2654,2020-04-04 14:00:00
8,722,2020-04-04 14:00:00
9,1678,2020-04-04 14:00:00
1,224,2020-04-04 15:00:00
2,310,2020-04-04 15:00:00
3,1860,2020-04-04 15:00:00
4,1890,2020-04-04 15:00:00
5,1059,2020-04-04 15:00:00
6,1263,2020-04-04 15:00:00
7,2658,2020-04-04 15:00:00
8,722,2020-04-04 15:00:00
9,1679,2020-04-04 15:00:00
1,225,2020-04-04 16:00:00
2,310,2020-04-04 16:00:00
3,1862,2020-04-04 16:00:00
4,1894,2020-04-04 16:00:00
5,1059,2020-04-04 16:00:00
6,1268,2020-04-04 16:00:00
7,2655,2020-04-04 16:00:00
8,722,2020-04-04 16:00:00
9,1684,2020-04-04 16:00:00
1,225,2020-04-04 17:00:00
2,310,2020-04-04 17:00:00
3,1863,2020-04-04 17:00:00
4,1896,2020-04-04 17:00:00
