"altersgruppe","freq","date"
"<5",53,2020-04-04 00:00:00
"5-14",260,2020-04-04 00:00:00
"15-24",1071,2020-04-04 00:00:00
"25-34",1651,2020-04-04 00:00:00
"35-44",1676,2020-04-04 00:00:00
"45-54",2461,2020-04-04 00:00:00
"55-64",1976,2020-04-04 00:00:00
">64",2376,2020-04-04 00:00:00
"<5",53,2020-04-04 01:00:00
"5-14",260,2020-04-04 01:00:00
"15-24",1069,2020-04-04 01:00:00
"25-34",1653,2020-04-04 01:00:00
"35-44",1676,2020-04-04 01:00:00
"45-54",2460,2020-04-04 01:00:00
"55-64",1975,2020-04-04 01:00:00
">64",2378,2020-04-04 01:00:00
"<5",53,2020-04-04 02:00:00
"5-14",260,2020-04-04 02:00:00
"15-24",1069,2020-04-04 02:00:00
"25-34",1653,2020-04-04 02:00:00
"35-44",1676,2020-04-04 02:00:00
"45-54",2460,2020-04-04 02:00:00
"55-64",1975,2020-04-04 02:00:00
">64",2378,2020-04-04 02:00:00
"<5",53,2020-04-04 03:00:00
"5-14",260,2020-04-04 03:00:00
"15-24",1069,2020-04-04 03:00:00
"25-34",1653,2020-04-04 03:00:00
"35-44",1676,2020-04-04 03:00:00
"45-54",2460,2020-04-04 03:00:00
"55-64",1975,2020-04-04 03:00:00
">64",2378,2020-04-04 03:00:00
"<5",53,2020-04-04 04:00:00
"5-14",260,2020-04-04 04:00:00
"15-24",1069,2020-04-04 04:00:00
"25-34",1653,2020-04-04 04:00:00
"35-44",1676,2020-04-04 04:00:00
"45-54",2460,2020-04-04 04:00:00
"55-64",1975,2020-04-04 04:00:00
">64",2378,2020-04-04 04:00:00
"<5",53,2020-04-04 05:00:00
"5-14",260,2020-04-04 05:00:00
"15-24",1069,2020-04-04 05:00:00
"25-34",1653,2020-04-04 05:00:00
"35-44",1676,2020-04-04 05:00:00
"45-54",2460,2020-04-04 05:00:00
"55-64",1976,2020-04-04 05:00:00
">64",2378,2020-04-04 05:00:00
"<5",53,2020-04-04 06:00:00
"5-14",260,2020-04-04 06:00:00
"15-24",1069,2020-04-04 06:00:00
"25-34",1653,2020-04-04 06:00:00
"35-44",1676,2020-04-04 06:00:00
"45-54",2460,2020-04-04 06:00:00
"55-64",1976,2020-04-04 06:00:00
">64",2378,2020-04-04 06:00:00
"<5",53,2020-04-04 07:00:00
"5-14",260,2020-04-04 07:00:00
"15-24",1069,2020-04-04 07:00:00
"25-34",1653,2020-04-04 07:00:00
"35-44",1676,2020-04-04 07:00:00
"45-54",2460,2020-04-04 07:00:00
"55-64",1976,2020-04-04 07:00:00
">64",2378,2020-04-04 07:00:00
"<5",53,2020-04-04 08:00:00
"5-14",260,2020-04-04 08:00:00
"15-24",1069,2020-04-04 08:00:00
"25-34",1653,2020-04-04 08:00:00
"35-44",1676,2020-04-04 08:00:00
"45-54",2460,2020-04-04 08:00:00
"55-64",1976,2020-04-04 08:00:00
">64",2378,2020-04-04 08:00:00
"<5",53,2020-04-04 09:00:00
"5-14",261,2020-04-04 09:00:00
"15-24",1074,2020-04-04 09:00:00
