"nuts2";"freq";"date"
1;246;2020-04-10 00:00:00
2;366;2020-04-10 00:00:00
3;2176;2020-04-10 00:00:00
4;2085;2020-04-10 00:00:00
5;1143;2020-04-10 00:00:00
6;1468;2020-04-10 00:00:00
7;3045;2020-04-10 00:00:00
8;801;2020-04-10 00:00:00
9;1918;2020-04-10 00:00:00
1;246;2020-04-10 01:00:00
2;366;2020-04-10 01:00:00
3;2176;2020-04-10 01:00:00
4;2085;2020-04-10 01:00:00
5;1143;2020-04-10 01:00:00
6;1468;2020-04-10 01:00:00
7;3045;2020-04-10 01:00:00
8;801;2020-04-10 01:00:00
9;1918;2020-04-10 01:00:00
1;246;2020-04-10 02:00:00
2;366;2020-04-10 02:00:00
3;2176;2020-04-10 02:00:00
4;2085;2020-04-10 02:00:00
5;1143;2020-04-10 02:00:00
6;1468;2020-04-10 02:00:00
7;3045;2020-04-10 02:00:00
8;801;2020-04-10 02:00:00
9;1918;2020-04-10 02:00:00
1;246;2020-04-10 03:00:00
2;366;2020-04-10 03:00:00
3;2176;2020-04-10 03:00:00
4;2085;2020-04-10 03:00:00
5;1143;2020-04-10 03:00:00
6;1468;2020-04-10 03:00:00
7;3045;2020-04-10 03:00:00
8;801;2020-04-10 03:00:00
9;1918;2020-04-10 03:00:00
1;246;2020-04-10 04:00:00
2;366;2020-04-10 04:00:00
3;2176;2020-04-10 04:00:00
4;2085;2020-04-10 04:00:00
5;1143;2020-04-10 04:00:00
6;1468;2020-04-10 04:00:00
7;3045;2020-04-10 04:00:00
8;801;2020-04-10 04:00:00
9;1918;2020-04-10 04:00:00
1;246;2020-04-10 05:00:00
2;366;2020-04-10 05:00:00
3;2176;2020-04-10 05:00:00
4;2085;2020-04-10 05:00:00
5;1143;2020-04-10 05:00:00
6;1468;2020-04-10 05:00:00
7;3045;2020-04-10 05:00:00
8;801;2020-04-10 05:00:00
9;1918;2020-04-10 05:00:00
1;246;2020-04-10 06:00:00
2;366;2020-04-10 06:00:00
3;2176;2020-04-10 06:00:00
4;2085;2020-04-10 06:00:00
5;1143;2020-04-10 06:00:00
6;1468;2020-04-10 06:00:00
7;3045;2020-04-10 06:00:00
8;801;2020-04-10 06:00:00
9;1918;2020-04-10 06:00:00
1;246;2020-04-10 07:00:00
2;366;2020-04-10 07:00:00
3;2192;2020-04-10 07:00:00
4;2085;2020-04-10 07:00:00
5;1143;2020-04-10 07:00:00
6;1468;2020-04-10 07:00:00
7;3045;2020-04-10 07:00:00
8;801;2020-04-10 07:00:00
9;1924;2020-04-10 07:00:00
1;246;2020-04-10 08:00:00
2;366;2020-04-10 08:00:00
3;2192;2020-04-10 08:00:00
4;2085;2020-04-10 08:00:00
5;1143;2020-04-10 08:00:00
6;1468;2020-04-10 08:00:00
7;3045;2020-04-10 08:00:00
8;801;2020-04-10 08:00:00
9;1925;2020-04-10 08:00:00
1;248;2020-04-10 09:00:00
2;366;2020-04-10 09:00:00
3;2203;2020-04-10 09:00:00
4;2089;2020-04-10 09:00:00
5;1144;2020-04-10 09:00:00
6;1471;2020-04-10 09:00:00
7;3060;2020-04-10 09:00:00
8;801;2020-04-10 09:00:00
9;1924;2020-04-10 09:00:00
1;248;2020-04-10 10:00:00
2;366;2020-04-10 10:00:00
3;2203;2020-04-10 10:00:00
4;2089;2020-04-10 10:00:00
5;1146;2020-04-10 10:00:00
6;1470;2020-04-10 10:00:00
7;3086;2020-04-10 10:00:00
8;805;2020-04-10 10:00:00
9;1924;2020-04-10 10:00:00
