"bundesland","freq","date"
"W",1704,2020-04-06 00:00:00
"Vbg",746,2020-04-06 00:00:00
"T",2739,2020-04-06 00:00:00
"Stmk",1312,2020-04-06 00:00:00
"Sbg",1079,2020-04-06 00:00:00
"OÖ",1953,2020-04-06 00:00:00
"NÖ",1903,2020-04-06 00:00:00
"Ktn",319,2020-04-06 00:00:00
"Bgld",228,2020-04-06 00:00:00
"W",1704,2020-04-06 01:00:00
"Vbg",746,2020-04-06 01:00:00
"T",2739,2020-04-06 01:00:00
"Stmk",1312,2020-04-06 01:00:00
"Sbg",1079,2020-04-06 01:00:00
"OÖ",1953,2020-04-06 01:00:00
"NÖ",1903,2020-04-06 01:00:00
"Ktn",319,2020-04-06 01:00:00
"Bgld",228,2020-04-06 01:00:00
"W",1704,2020-04-06 02:00:00
"Vbg",746,2020-04-06 02:00:00
"T",2739,2020-04-06 02:00:00
"Stmk",1312,2020-04-06 02:00:00
"Sbg",1079,2020-04-06 02:00:00
"OÖ",1953,2020-04-06 02:00:00
"NÖ",1903,2020-04-06 02:00:00
"Ktn",319,2020-04-06 02:00:00
"Bgld",228,2020-04-06 02:00:00
