"bezirk";"freq";"date"
"Amstetten";219;2020-04-06 00:00:00
"Baden";96;2020-04-06 00:00:00
"Bludenz";228;2020-04-06 00:00:00
"Braunau am Inn";89;2020-04-06 00:00:00
"Bregenz";205;2020-04-06 00:00:00
"Bruck an der Leitha";58;2020-04-06 00:00:00
"Bruck-Mürzzuschlag";43;2020-04-06 00:00:00
"Deutschlandsberg";32;2020-04-06 00:00:00
"Dornbirn";122;2020-04-06 00:00:00
"Eferding";39;2020-04-06 00:00:00
"Eisenstadt(Stadt)";12;2020-04-06 00:00:00
"Eisenstadt-Umgebung";18;2020-04-06 00:00:00
"Feldkirch";191;2020-04-06 00:00:00
"Feldkirchen";10;2020-04-06 00:00:00
"Freistadt";98;2020-04-06 00:00:00
"Gänserndorf";58;2020-04-06 00:00:00
"Gmünd";6;2020-04-06 00:00:00
"Gmunden";59;2020-04-06 00:00:00
"Graz(Stadt)";346;2020-04-06 00:00:00
"Graz-Umgebung";125;2020-04-06 00:00:00
"Grieskirchen";63;2020-04-06 00:00:00
"Gröbming";29;2020-04-06 00:00:00
"Güssing";18;2020-04-06 00:00:00
"Hallein";59;2020-04-06 00:00:00
"Hartberg-Fürstenfeld";251;2020-04-06 00:00:00
"Hermagor";1;2020-04-06 00:00:00
"Hollabrunn";17;2020-04-06 00:00:00
"Horn";25;2020-04-06 00:00:00
"Imst";229;2020-04-06 00:00:00
"Innsbruck-Land";339;2020-04-06 00:00:00
"Innsbruck-Stadt";339;2020-04-06 00:00:00
"Jennersdorf";8;2020-04-06 00:00:00
"Kirchdorf an der Krems";36;2020-04-06 00:00:00
"Kitzbühel";305;2020-04-06 00:00:00
"Klagenfurt Land";36;2020-04-06 00:00:00
"Klagenfurt Stadt";62;2020-04-06 00:00:00
"Korneuburg";124;2020-04-06 00:00:00
"Krems an der Donau(Stadt)";29;2020-04-06 00:00:00
"Krems(Land)";118;2020-04-06 00:00:00
"Kufstein";376;2020-04-06 00:00:00
"Landeck";705;2020-04-06 00:00:00
"Leibnitz";159;2020-04-06 00:00:00
"Leoben";23;2020-04-06 00:00:00
"Lienz";108;2020-04-06 00:00:00
"Liezen";39;2020-04-06 00:00:00
"Lilienfeld";37;2020-04-06 00:00:00
"Linz(Stadt)";271;2020-04-06 00:00:00
"Linz-Land";182;2020-04-06 00:00:00
"Mattersburg";32;2020-04-06 00:00:00
"Melk";118;2020-04-06 00:00:00
"Mistelbach";94;2020-04-06 00:00:00
"Mödling";122;2020-04-06 00:00:00
"Murau";5;2020-04-06 00:00:00
"Murtal";32;2020-04-06 00:00:00
"Neunkirchen";146;2020-04-06 00:00:00
"Neusiedl am See";49;2020-04-06 00:00:00
"Oberpullendorf";16;2020-04-06 00:00:00
"Oberwart";75;2020-04-06 00:00:00
"Perg";238;2020-04-06 00:00:00
"Reutte";47;2020-04-06 00:00:00
"Ried im Innkreis";30;2020-04-06 00:00:00
"Rohrbach";129;2020-04-06 00:00:00
"Salzburg(Stadt)";129;2020-04-06 00:00:00
"Salzburg-Umgebung";169;2020-04-06 00:00:00
"Sankt Johann im Pongau";386;2020-04-06 00:00:00
"Sankt Pölten(Land)";217;2020-04-06 00:00:00
"Sankt Pölten(Stadt)";65;2020-04-06 00:00:00
"Sankt Veit an der Glan";39;2020-04-06 00:00:00
"Schärding";48;2020-04-06 00:00:00
"Scheibbs";95;2020-04-06 00:00:00
"Schwaz";291;2020-04-06 00:00:00
"Spittal an der Drau";31;2020-04-06 00:00:00
"Steyr(Stadt)";41;2020-04-06 00:00:00
"Steyr-Land";136;2020-04-06 00:00:00
"Südoststeiermark";40;2020-04-06 00:00:00
"Tamsweg";19;2020-04-06 00:00:00
"Tulln";125;2020-04-06 00:00:00
"Urfahr-Umgebung";266;2020-04-06 00:00:00
"Villach Land";42;2020-04-06 00:00:00
"Villach Stadt";16;2020-04-06 00:00:00
"Vöcklabruck";100;2020-04-06 00:00:00
"Voitsberg";85;2020-04-06 00:00:00
"Völkermarkt";47;2020-04-06 00:00:00
"Waidhofen an der Thaya";14;2020-04-06 00:00:00
"Waidhofen an der Ybbs(Stadt)";22;2020-04-06 00:00:00
