"altersgruppe";"freq";"date"
"<5";26;2020-03-27 00:00:00
"5-14";134;2020-03-27 00:00:00
"15-24";639;2020-03-27 00:00:00
"25-34";1066;2020-03-27 00:00:00
"35-44";1044;2020-03-27 00:00:00
"45-54";1480;2020-03-27 00:00:00
"55-64";1205;2020-03-27 00:00:00
">64";1315;2020-03-27 00:00:00
"<5";26;2020-03-27 01:00:00
"5-14";134;2020-03-27 01:00:00
"15-24";639;2020-03-27 01:00:00
"25-34";1065;2020-03-27 01:00:00
"35-44";1045;2020-03-27 01:00:00
"45-54";1479;2020-03-27 01:00:00
"55-64";1205;2020-03-27 01:00:00
">64";1316;2020-03-27 01:00:00
"<5";26;2020-03-27 02:00:00
"5-14";134;2020-03-27 02:00:00
"15-24";639;2020-03-27 02:00:00
"25-34";1065;2020-03-27 02:00:00
"35-44";1045;2020-03-27 02:00:00
"45-54";1479;2020-03-27 02:00:00
"55-64";1205;2020-03-27 02:00:00
">64";1316;2020-03-27 02:00:00
"<5";26;2020-03-27 03:00:00
"5-14";134;2020-03-27 03:00:00
"15-24";639;2020-03-27 03:00:00
"25-34";1065;2020-03-27 03:00:00
"35-44";1045;2020-03-27 03:00:00
"45-54";1479;2020-03-27 03:00:00
"55-64";1205;2020-03-27 03:00:00
">64";1316;2020-03-27 03:00:00
"<5";26;2020-03-27 04:00:00
"5-14";134;2020-03-27 04:00:00
"15-24";639;2020-03-27 04:00:00
"25-34";1065;2020-03-27 04:00:00
"35-44";1045;2020-03-27 04:00:00
"45-54";1479;2020-03-27 04:00:00
"55-64";1205;2020-03-27 04:00:00
">64";1316;2020-03-27 04:00:00
"<5";26;2020-03-27 05:00:00
"5-14";134;2020-03-27 05:00:00
"15-24";639;2020-03-27 05:00:00
"25-34";1065;2020-03-27 05:00:00
"35-44";1045;2020-03-27 05:00:00
"45-54";1479;2020-03-27 05:00:00
"55-64";1205;2020-03-27 05:00:00
">64";1316;2020-03-27 05:00:00
"<5";26;2020-03-27 06:00:00
"5-14";134;2020-03-27 06:00:00
"15-24";639;2020-03-27 06:00:00
"25-34";1065;2020-03-27 06:00:00
"35-44";1045;2020-03-27 06:00:00
"45-54";1479;2020-03-27 06:00:00
"55-64";1205;2020-03-27 06:00:00
">64";1316;2020-03-27 06:00:00
"<5";26;2020-03-27 07:00:00
"5-14";134;2020-03-27 07:00:00
"15-24";639;2020-03-27 07:00:00
"25-34";1068;2020-03-27 07:00:00
"35-44";1045;2020-03-27 07:00:00
"45-54";1482;2020-03-27 07:00:00
"55-64";1206;2020-03-27 07:00:00
">64";1317;2020-03-27 07:00:00
"<5";26;2020-03-27 08:00:00
"5-14";139;2020-03-27 08:00:00
"15-24";646;2020-03-27 08:00:00
"25-34";1074;2020-03-27 08:00:00
"35-44";1055;2020-03-27 08:00:00
"45-54";1492;2020-03-27 08:00:00
"55-64";1210;2020-03-27 08:00:00
">64";1320;2020-03-27 08:00:00
"<5";26;2020-03-27 09:00:00
"5-14";142;2020-03-27 09:00:00
"15-24";649;2020-03-27 09:00:00
"25-34";1081;2020-03-27 09:00:00
"35-44";1058;2020-03-27 09:00:00
"45-54";1508;2020-03-27 09:00:00
"55-64";1226;2020-03-27 09:00:00
">64";1339;2020-03-27 09:00:00
"<5";26;2020-03-27 10:00:00
"5-14";145;2020-03-27 10:00:00
"15-24";656;2020-03-27 10:00:00
"25-34";1096;2020-03-27 10:00:00
"35-44";1072;2020-03-27 10:00:00
"45-54";1534;2020-03-27 10:00:00
"55-64";1246;2020-03-27 10:00:00
">64";1354;2020-03-27 10:00:00
"<5";26;2020-03-27 11:00:00
"5-14";146;2020-03-27 11:00:00
"15-24";660;2020-03-27 11:00:00
"25-34";1103;2020-03-27 11:00:00
"35-44";1083;2020-03-27 11:00:00
"45-54";1554;2020-03-27 11:00:00
"55-64";1259;2020-03-27 11:00:00
">64";1365;2020-03-27 11:00:00
"<5";27;2020-03-27 12:00:00
"5-14";150;2020-03-27 12:00:00
"15-24";670;2020-03-27 12:00:00
"25-34";1109;2020-03-27 12:00:00
"35-44";1095;2020-03-27 12:00:00
"45-54";1566;2020-03-27 12:00:00
"55-64";1277;2020-03-27 12:00:00
">64";1375;2020-03-27 12:00:00
"<5";27;2020-03-27 13:00:00
"5-14";150;2020-03-27 13:00:00
"15-24";673;2020-03-27 13:00:00
"25-34";1117;2020-03-27 13:00:00
"35-44";1099;2020-03-27 13:00:00
"45-54";1577;2020-03-27 13:00:00
"55-64";1287;2020-03-27 13:00:00
">64";1387;2020-03-27 13:00:00
"<5";27;2020-03-27 14:00:00
"5-14";155;2020-03-27 14:00:00
"15-24";680;2020-03-27 14:00:00
"25-34";1125;2020-03-27 14:00:00
"35-44";1106;2020-03-27 14:00:00
"45-54";1594;2020-03-27 14:00:00
"55-64";1295;2020-03-27 14:00:00
">64";1411;2020-03-27 14:00:00
"<5";27;2020-03-27 15:00:00
"5-14";158;2020-03-27 15:00:00
"15-24";681;2020-03-27 15:00:00
"25-34";1129;2020-03-27 15:00:00
"35-44";1117;2020-03-27 15:00:00
"45-54";1600;2020-03-27 15:00:00
"55-64";1304;2020-03-27 15:00:00
">64";1425;2020-03-27 15:00:00
"<5";27;2020-03-27 16:00:00
"5-14";159;2020-03-27 16:00:00
"15-24";684;2020-03-27 16:00:00
"25-34";1137;2020-03-27 16:00:00
"35-44";1129;2020-03-27 16:00:00
"45-54";1610;2020-03-27 16:00:00
"55-64";1315;2020-03-27 16:00:00
">64";1439;2020-03-27 16:00:00
"<5";27;2020-03-27 17:00:00
"5-14";160;2020-03-27 17:00:00
"15-24";690;2020-03-27 17:00:00
"25-34";1140;2020-03-27 17:00:00
"35-44";1135;2020-03-27 17:00:00
"45-54";1620;2020-03-27 17:00:00
"55-64";1331;2020-03-27 17:00:00
">64";1454;2020-03-27 17:00:00
"<5";27;2020-03-27 18:00:00
"5-14";160;2020-03-27 18:00:00
"15-24";692;2020-03-27 18:00:00
"25-34";1151;2020-03-27 18:00:00
"35-44";1142;2020-03-27 18:00:00
"45-54";1638;2020-03-27 18:00:00
"55-64";1342;2020-03-27 18:00:00
">64";1458;2020-03-27 18:00:00
"<5";27;2020-03-27 19:00:00
"5-14";161;2020-03-27 19:00:00
"15-24";695;2020-03-27 19:00:00
"25-34";1157;2020-03-27 19:00:00
"35-44";1143;2020-03-27 19:00:00
"45-54";1646;2020-03-27 19:00:00
"55-64";1345;2020-03-27 19:00:00
">64";1468;2020-03-27 19:00:00
"<5";28;2020-03-27 20:00:00
"5-14";162;2020-03-27 20:00:00
"15-24";698;2020-03-27 20:00:00
"25-34";1157;2020-03-27 20:00:00
"35-44";1143;2020-03-27 20:00:00
"45-54";1651;2020-03-27 20:00:00
"55-64";1347;2020-03-27 20:00:00
">64";1471;2020-03-27 20:00:00
"<5";29;2020-03-27 21:00:00
"5-14";162;2020-03-27 21:00:00
"15-24";698;2020-03-27 21:00:00
"25-34";1160;2020-03-27 21:00:00
"35-44";1148;2020-03-27 21:00:00
"45-54";1652;2020-03-27 21:00:00
"55-64";1349;2020-03-27 21:00:00
">64";1474;2020-03-27 21:00:00
"<5";29;2020-03-27 22:00:00
"5-14";162;2020-03-27 22:00:00
"15-24";698;2020-03-27 22:00:00
"25-34";1160;2020-03-27 22:00:00
"35-44";1148;2020-03-27 22:00:00
"45-54";1652;2020-03-27 22:00:00
"55-64";1349;2020-03-27 22:00:00
">64";1474;2020-03-27 22:00:00
"<5";29;2020-03-27 23:00:00
"5-14";162;2020-03-27 23:00:00
"15-24";698;2020-03-27 23:00:00
"25-34";1163;2020-03-27 23:00:00
"35-44";1151;2020-03-27 23:00:00
"45-54";1656;2020-03-27 23:00:00
"55-64";1352;2020-03-27 23:00:00
">64";1477;2020-03-27 23:00:00
