"nuts2","freq","date"
1,117,2020-03-27 00:00:00
2,188,2020-03-27 00:00:00
3,986,2020-03-27 00:00:00
4,1149,2020-03-27 00:00:00
5,680,2020-03-27 00:00:00
6,743,2020-03-27 00:00:00
7,1665,2020-03-27 00:00:00
8,467,2020-03-27 00:00:00
9,914,2020-03-27 00:00:00
1,117,2020-03-27 01:00:00
2,188,2020-03-27 01:00:00
3,986,2020-03-27 01:00:00
4,1149,2020-03-27 01:00:00
5,680,2020-03-27 01:00:00
6,743,2020-03-27 01:00:00
7,1665,2020-03-27 01:00:00
8,467,2020-03-27 01:00:00
9,914,2020-03-27 01:00:00
1,117,2020-03-27 02:00:00
2,188,2020-03-27 02:00:00
3,986,2020-03-27 02:00:00
4,1149,2020-03-27 02:00:00
5,680,2020-03-27 02:00:00
6,743,2020-03-27 02:00:00
7,1665,2020-03-27 02:00:00
8,467,2020-03-27 02:00:00
9,914,2020-03-27 02:00:00
1,117,2020-03-27 03:00:00
2,188,2020-03-27 03:00:00
3,986,2020-03-27 03:00:00
4,1149,2020-03-27 03:00:00
5,680,2020-03-27 03:00:00
6,743,2020-03-27 03:00:00
7,1665,2020-03-27 03:00:00
8,467,2020-03-27 03:00:00
9,914,2020-03-27 03:00:00
1,117,2020-03-27 04:00:00
2,188,2020-03-27 04:00:00
3,986,2020-03-27 04:00:00
4,1149,2020-03-27 04:00:00
5,680,2020-03-27 04:00:00
6,743,2020-03-27 04:00:00
7,1665,2020-03-27 04:00:00
8,467,2020-03-27 04:00:00
9,914,2020-03-27 04:00:00
1,117,2020-03-27 05:00:00
2,188,2020-03-27 05:00:00
3,986,2020-03-27 05:00:00
4,1149,2020-03-27 05:00:00
5,680,2020-03-27 05:00:00
6,743,2020-03-27 05:00:00
7,1665,2020-03-27 05:00:00
8,467,2020-03-27 05:00:00
9,914,2020-03-27 05:00:00
1,117,2020-03-27 06:00:00
2,188,2020-03-27 06:00:00
3,986,2020-03-27 06:00:00
4,1149,2020-03-27 06:00:00
5,680,2020-03-27 06:00:00
6,743,2020-03-27 06:00:00
7,1665,2020-03-27 06:00:00
8,467,2020-03-27 06:00:00
9,914,2020-03-27 06:00:00
1,117,2020-03-27 07:00:00
2,188,2020-03-27 07:00:00
3,986,2020-03-27 07:00:00
4,1149,2020-03-27 07:00:00
5,680,2020-03-27 07:00:00
6,743,2020-03-27 07:00:00
7,1673,2020-03-27 07:00:00
8,467,2020-03-27 07:00:00
9,914,2020-03-27 07:00:00
1,117,2020-03-27 08:00:00
2,189,2020-03-27 08:00:00
3,992,2020-03-27 08:00:00
4,1162,2020-03-27 08:00:00
5,680,2020-03-27 08:00:00
6,742,2020-03-27 08:00:00
7,1689,2020-03-27 08:00:00
8,473,2020-03-27 08:00:00
9,918,2020-03-27 08:00:00
1,117,2020-03-27 09:00:00
2,191,2020-03-27 09:00:00
3,1031,2020-03-27 09:00:00
4,1168,2020-03-27 09:00:00
5,680,2020-03-27 09:00:00
6,753,2020-03-27 09:00:00
7,1694,2020-03-27 09:00:00
8,473,2020-03-27 09:00:00
9,922,2020-03-27 09:00:00
1,117,2020-03-27 10:00:00
2,191,2020-03-27 10:00:00
3,1068,2020-03-27 10:00:00
4,1181,2020-03-27 10:00:00
5,678,2020-03-27 10:00:00
6,753,2020-03-27 10:00:00
7,1732,2020-03-27 10:00:00
8,473,2020-03-27 10:00:00
9,936,2020-03-27 10:00:00
1,118,2020-03-27 11:00:00
2,191,2020-03-27 11:00:00
3,1106,2020-03-27 11:00:00
4,1183,2020-03-27 11:00:00
5,679,2020-03-27 11:00:00
6,754,2020-03-27 11:00:00
7,1748,2020-03-27 11:00:00
8,473,2020-03-27 11:00:00
9,944,2020-03-27 11:00:00
1,129,2020-03-27 12:00:00
2,192,2020-03-27 12:00:00
3,1130,2020-03-27 12:00:00
4,1199,2020-03-27 12:00:00
5,679,2020-03-27 12:00:00
6,753,2020-03-27 12:00:00
7,1749,2020-03-27 12:00:00
8,478,2020-03-27 12:00:00
9,960,2020-03-27 12:00:00
1,136,2020-03-27 13:00:00
2,201,2020-03-27 13:00:00
3,1135,2020-03-27 13:00:00
4,1207,2020-03-27 13:00:00
5,679,2020-03-27 13:00:00
6,753,2020-03-27 13:00:00
7,1751,2020-03-27 13:00:00
8,478,2020-03-27 13:00:00
9,977,2020-03-27 13:00:00
1,138,2020-03-27 14:00:00
2,203,2020-03-27 14:00:00
3,1140,2020-03-27 14:00:00
4,1216,2020-03-27 14:00:00
5,679,2020-03-27 14:00:00
6,763,2020-03-27 14:00:00
7,1751,2020-03-27 14:00:00
8,501,2020-03-27 14:00:00
9,1002,2020-03-27 14:00:00
1,138,2020-03-27 15:00:00
2,202,2020-03-27 15:00:00
3,1147,2020-03-27 15:00:00
4,1227,2020-03-27 15:00:00
5,687,2020-03-27 15:00:00
6,777,2020-03-27 15:00:00
7,1755,2020-03-27 15:00:00
8,503,2020-03-27 15:00:00
9,1005,2020-03-27 15:00:00
1,139,2020-03-27 16:00:00
2,202,2020-03-27 16:00:00
3,1155,2020-03-27 16:00:00
4,1243,2020-03-27 16:00:00
5,687,2020-03-27 16:00:00
6,781,2020-03-27 16:00:00
7,1772,2020-03-27 16:00:00
8,503,2020-03-27 16:00:00
9,1018,2020-03-27 16:00:00
1,139,2020-03-27 17:00:00
2,204,2020-03-27 17:00:00
3,1157,2020-03-27 17:00:00
4,1249,2020-03-27 17:00:00
5,697,2020-03-27 17:00:00
6,805,2020-03-27 17:00:00
7,1775,2020-03-27 17:00:00
8,511,2020-03-27 17:00:00
9,1020,2020-03-27 17:00:00
1,140,2020-03-27 18:00:00
2,204,2020-03-27 18:00:00
3,1159,2020-03-27 18:00:00
4,1254,2020-03-27 18:00:00
5,697,2020-03-27 18:00:00
6,810,2020-03-27 18:00:00
7,1800,2020-03-27 18:00:00
8,522,2020-03-27 18:00:00
9,1024,2020-03-27 18:00:00
1,140,2020-03-27 19:00:00
2,204,2020-03-27 19:00:00
3,1162,2020-03-27 19:00:00
4,1266,2020-03-27 19:00:00
5,707,2020-03-27 19:00:00
6,812,2020-03-27 19:00:00
7,1800,2020-03-27 19:00:00
8,522,2020-03-27 19:00:00
9,1029,2020-03-27 19:00:00
1,140,2020-03-27 20:00:00
2,204,2020-03-27 20:00:00
3,1163,2020-03-27 20:00:00
4,1276,2020-03-27 20:00:00
5,707,2020-03-27 20:00:00
6,812,2020-03-27 20:00:00
7,1800,2020-03-27 20:00:00
8,526,2020-03-27 20:00:00
9,1029,2020-03-27 20:00:00
1,140,2020-03-27 21:00:00
2,204,2020-03-27 21:00:00
3,1163,2020-03-27 21:00:00
4,1285,2020-03-27 21:00:00
5,712,2020-03-27 21:00:00
6,812,2020-03-27 21:00:00
7,1801,2020-03-27 21:00:00
8,526,2020-03-27 21:00:00
9,1029,2020-03-27 21:00:00
1,140,2020-03-27 22:00:00
2,204,2020-03-27 22:00:00
3,1163,2020-03-27 22:00:00
4,1285,2020-03-27 22:00:00
5,712,2020-03-27 22:00:00
6,812,2020-03-27 22:00:00
7,1801,2020-03-27 22:00:00
8,526,2020-03-27 22:00:00
9,1029,2020-03-27 22:00:00
1,140,2020-03-27 23:00:00
2,204,2020-03-27 23:00:00
3,1163,2020-03-27 23:00:00
4,1285,2020-03-27 23:00:00
5,728,2020-03-27 23:00:00
6,812,2020-03-27 23:00:00
7,1801,2020-03-27 23:00:00
8,526,2020-03-27 23:00:00
9,1029,2020-03-27 23:00:00
