"geschlecht";"freq";"date"
"männlich";52;2020-03-29 00:00:00
"weiblich";48;2020-03-29 00:00:00
"männlich";52;2020-03-29 01:00:00
"weiblich";48;2020-03-29 01:00:00
"männlich";52;2020-03-29 01:01:47
"weiblich";48;2020-03-29 01:01:47
"männlich";52;2020-03-29 03:00:00
"weiblich";48;2020-03-29 03:00:00
"männlich";52;2020-03-29 04:00:00
"weiblich";48;2020-03-29 04:00:00
"männlich";52;2020-03-29 05:00:00
"weiblich";48;2020-03-29 05:00:00
"männlich";52;2020-03-29 06:00:00
"weiblich";48;2020-03-29 06:00:00
"männlich";52;2020-03-29 07:00:00
"weiblich";48;2020-03-29 07:00:00
"männlich";52;2020-03-29 08:00:00
"weiblich";48;2020-03-29 08:00:00
"männlich";52;2020-03-29 09:00:00
"weiblich";48;2020-03-29 09:00:00
"männlich";52;2020-03-29 10:00:00
"weiblich";48;2020-03-29 10:00:00
"männlich";52;2020-03-29 11:00:00
"weiblich";48;2020-03-29 11:00:00
"männlich";52;2020-03-29 12:00:00
"weiblich";48;2020-03-29 12:00:00
"männlich";52;2020-03-29 13:00:00
"weiblich";48;2020-03-29 13:00:00
"männlich";52;2020-03-29 14:00:00
"weiblich";48;2020-03-29 14:00:00
