"bezirk";"freq";"date"
"Amstetten";92;2020-03-24 00:00:00
"Baden";28;2020-03-24 00:00:00
"Bludenz";103;2020-03-24 00:00:00
"Braunau am Inn";13;2020-03-24 00:00:00
"Bregenz";84;2020-03-24 00:00:00
"Bruck an der Leitha";18;2020-03-24 00:00:00
"Bruck-Mürzzuschlag";15;2020-03-24 00:00:00
"Deutschlandsberg";8;2020-03-24 00:00:00
"Dornbirn";51;2020-03-24 00:00:00
"Eferding";8;2020-03-24 00:00:00
"Eisenstadt(Stadt)";6;2020-03-24 00:00:00
"Eisenstadt-Umgebung";8;2020-03-24 00:00:00
"Feldkirch";114;2020-03-24 00:00:00
"Feldkirchen";3;2020-03-24 00:00:00
"Freistadt";46;2020-03-24 00:00:00
"Gänserndorf";19;2020-03-24 00:00:00
"Gmünd";2;2020-03-24 00:00:00
"Gmunden";20;2020-03-24 00:00:00
"Graz(Stadt)";132;2020-03-24 00:00:00
"Graz-Umgebung";52;2020-03-24 00:00:00
"Grieskirchen";13;2020-03-24 00:00:00
"Gröbming";19;2020-03-24 00:00:00
"Hallein";25;2020-03-24 00:00:00
"Hartberg-Fürstenfeld";80;2020-03-24 00:00:00
"Hermagor";3;2020-03-24 00:00:00
"Hollabrunn";2;2020-03-24 00:00:00
"Imst";74;2020-03-24 00:00:00
"Innsbruck-Land";139;2020-03-24 00:00:00
"Innsbruck-Stadt";205;2020-03-24 00:00:00
"Jennersdorf";4;2020-03-24 00:00:00
"Kirchdorf an der Krems";16;2020-03-24 00:00:00
"Kitzbühel";83;2020-03-24 00:00:00
"Klagenfurt Land";14;2020-03-24 00:00:00
"Klagenfurt Stadt";27;2020-03-24 00:00:00
"Korneuburg";67;2020-03-24 00:00:00
"Krems an der Donau(Stadt)";4;2020-03-24 00:00:00
"Krems(Land)";29;2020-03-24 00:00:00
"Kufstein";92;2020-03-24 00:00:00
"Landeck";344;2020-03-24 00:00:00
"Leibnitz";59;2020-03-24 00:00:00
"Leoben";8;2020-03-24 00:00:00
"Lienz";45;2020-03-24 00:00:00
