"bundesland","freq","date"
"Bgld",85,2020-03-24 00:00:00
"Ktn",135,2020-03-24 00:00:00
"NÖ",609,2020-03-24 00:00:00
"OÖ",764,2020-03-24 00:00:00
"Sbg",404,2020-03-24 00:00:00
"Stmk",503,2020-03-24 00:00:00
"T",1065,2020-03-24 00:00:00
"Vbg",352,2020-03-24 00:00:00
"W",557,2020-03-24 00:00:00
"Bgld",85,2020-03-24 00:15:00
"Ktn",135,2020-03-24 00:15:00
"NÖ",609,2020-03-24 00:15:00
"OÖ",764,2020-03-24 00:15:00
"Sbg",404,2020-03-24 00:15:00
"Stmk",503,2020-03-24 00:15:00
"T",1065,2020-03-24 00:15:00
"Vbg",352,2020-03-24 00:15:00
"W",557,2020-03-24 00:15:00
"Bgld",85,2020-03-24 00:30:00
"Ktn",135,2020-03-24 00:30:00
"NÖ",609,2020-03-24 00:30:00
"OÖ",764,2020-03-24 00:30:00
"Sbg",404,2020-03-24 00:30:00
"Stmk",503,2020-03-24 00:30:00
"T",1065,2020-03-24 00:30:00
"Vbg",352,2020-03-24 00:30:00
"W",557,2020-03-24 00:30:00
"Bgld",85,2020-03-24 00:45:00
"Ktn",135,2020-03-24 00:45:00
"NÖ",609,2020-03-24 00:45:00
"OÖ",764,2020-03-24 00:45:00
"Sbg",404,2020-03-24 00:45:00
"Stmk",503,2020-03-24 00:45:00
"T",1065,2020-03-24 00:45:00
"Vbg",352,2020-03-24 00:45:00
"W",557,2020-03-24 00:45:00
"Bgld",85,2020-03-24 01:00:00
"Ktn",135,2020-03-24 01:00:00
"NÖ",609,2020-03-24 01:00:00
"OÖ",764,2020-03-24 01:00:00
"Sbg",404,2020-03-24 01:00:00
"Stmk",503,2020-03-24 01:00:00
"T",1065,2020-03-24 01:00:00
"Vbg",352,2020-03-24 01:00:00
"W",557,2020-03-24 01:00:00
"Bgld",85,2020-03-24 01:15:00
"Ktn",135,2020-03-24 01:15:00
"NÖ",609,2020-03-24 01:15:00
"OÖ",764,2020-03-24 01:15:00
"Sbg",404,2020-03-24 01:15:00
