"altersgruppe","freq","date"
"<5",59,2020-04-09 00:00:00
"5-14",293,2020-04-09 00:00:00
"15-24",1202,2020-04-09 00:00:00
"25-34",1831,2020-04-09 00:00:00
"35-44",1844,2020-04-09 00:00:00
"45-54",2755,2020-04-09 00:00:00
"55-64",2187,2020-04-09 00:00:00
">64",2771,2020-04-09 00:00:00
"<5",59,2020-04-09 01:00:00
"5-14",293,2020-04-09 01:00:00
"15-24",1202,2020-04-09 01:00:00
"25-34",1831,2020-04-09 01:00:00
"35-44",1844,2020-04-09 01:00:00
"45-54",2754,2020-04-09 01:00:00
"55-64",2188,2020-04-09 01:00:00
">64",2771,2020-04-09 01:00:00
"<5",59,2020-04-09 02:00:00
"5-14",293,2020-04-09 02:00:00
"15-24",1202,2020-04-09 02:00:00
"25-34",1831,2020-04-09 02:00:00
"35-44",1844,2020-04-09 02:00:00
"45-54",2754,2020-04-09 02:00:00
"55-64",2188,2020-04-09 02:00:00
">64",2771,2020-04-09 02:00:00
"<5",59,2020-04-09 03:00:00
"5-14",293,2020-04-09 03:00:00
"15-24",1202,2020-04-09 03:00:00
"25-34",1831,2020-04-09 03:00:00
"35-44",1844,2020-04-09 03:00:00
"45-54",2754,2020-04-09 03:00:00
"55-64",2188,2020-04-09 03:00:00
">64",2771,2020-04-09 03:00:00
"<5",59,2020-04-09 04:00:00
"5-14",293,2020-04-09 04:00:00
"15-24",1202,2020-04-09 04:00:00
"25-34",1831,2020-04-09 04:00:00
"35-44",1844,2020-04-09 04:00:00
"45-54",2754,2020-04-09 04:00:00
"55-64",2188,2020-04-09 04:00:00
">64",2771,2020-04-09 04:00:00
"<5",59,2020-04-09 05:00:00
"5-14",293,2020-04-09 05:00:00
"15-24",1202,2020-04-09 05:00:00
"25-34",1831,2020-04-09 05:00:00
"35-44",1844,2020-04-09 05:00:00
"45-54",2754,2020-04-09 05:00:00
"55-64",2188,2020-04-09 05:00:00
">64",2771,2020-04-09 05:00:00
"<5",59,2020-04-09 06:00:00
"5-14",293,2020-04-09 06:00:00
"15-24",1202,2020-04-09 06:00:00
"25-34",1831,2020-04-09 06:00:00
"35-44",1844,2020-04-09 06:00:00
"45-54",2754,2020-04-09 06:00:00
"55-64",2188,2020-04-09 06:00:00
">64",2771,2020-04-09 06:00:00
