"bundesland";"freq";"date"
"W";1417;2020-04-01 00:00:00
"Vbg";659;2020-04-01 00:00:00
"T";2360;2020-04-01 00:00:00
"Stmk";1063;2020-04-01 00:00:00
"Sbg";949;2020-04-01 00:00:00
"OÖ";1635;2020-04-01 00:00:00
"NÖ";1636;2020-04-01 00:00:00
"Ktn";278;2020-04-01 00:00:00
"Bgld";185;2020-04-01 00:00:00
"W";1417;2020-04-01 01:00:00
"Vbg";659;2020-04-01 01:00:00
"T";2360;2020-04-01 01:00:00
"Stmk";1063;2020-04-01 01:00:00
"Sbg";949;2020-04-01 01:00:00
"OÖ";1635;2020-04-01 01:00:00
"NÖ";1636;2020-04-01 01:00:00
"Ktn";278;2020-04-01 01:00:00
"Bgld";185;2020-04-01 01:00:00
"W";1417;2020-04-01 02:00:00
"Vbg";659;2020-04-01 02:00:00
"T";2360;2020-04-01 02:00:00
"Stmk";1063;2020-04-01 02:00:00
"Sbg";949;2020-04-01 02:00:00
"OÖ";1635;2020-04-01 02:00:00
"NÖ";1636;2020-04-01 02:00:00
"Ktn";278;2020-04-01 02:00:00
"Bgld";185;2020-04-01 02:00:00
"W";1417;2020-04-01 03:00:00
"Vbg";659;2020-04-01 03:00:00
"T";2360;2020-04-01 03:00:00
"Stmk";1063;2020-04-01 03:00:00
"Sbg";949;2020-04-01 03:00:00
"OÖ";1635;2020-04-01 03:00:00
"NÖ";1636;2020-04-01 03:00:00
"Ktn";278;2020-04-01 03:00:00
"Bgld";185;2020-04-01 03:00:00
"W";1417;2020-04-01 04:00:00
"Vbg";659;2020-04-01 04:00:00
"T";2360;2020-04-01 04:00:00
"Stmk";1063;2020-04-01 04:00:00
"Sbg";949;2020-04-01 04:00:00
"OÖ";1635;2020-04-01 04:00:00
"NÖ";1636;2020-04-01 04:00:00
"Ktn";278;2020-04-01 04:00:00
"Bgld";185;2020-04-01 04:00:00
"W";1417;2020-04-01 05:00:00
"Vbg";659;2020-04-01 05:00:00
"T";2360;2020-04-01 05:00:00
"Stmk";1063;2020-04-01 05:00:00
"Sbg";949;2020-04-01 05:00:00
"OÖ";1635;2020-04-01 05:00:00
"NÖ";1636;2020-04-01 05:00:00
"Ktn";278;2020-04-01 05:00:00
"Bgld";185;2020-04-01 05:00:00
"W";1417;2020-04-01 06:00:00
"Vbg";659;2020-04-01 06:00:00
"T";2360;2020-04-01 06:00:00
"Stmk";1063;2020-04-01 06:00:00
"Sbg";949;2020-04-01 06:00:00
"OÖ";1635;2020-04-01 06:00:00
"NÖ";1636;2020-04-01 06:00:00
"Ktn";278;2020-04-01 06:00:00
"Bgld";185;2020-04-01 06:00:00
