"bezirk";"freq";"date"
"Amstetten";183;2020-04-01 00:00:00
"Baden";91;2020-04-01 00:00:00
"Bludenz";203;2020-04-01 00:00:00
"Braunau am Inn";51;2020-04-01 00:00:00
"Bregenz";166;2020-04-01 00:00:00
"Bruck an der Leitha";51;2020-04-01 00:00:00
"Bruck-Mürzzuschlag";40;2020-04-01 00:00:00
"Deutschlandsberg";24;2020-04-01 00:00:00
"Dornbirn";115;2020-04-01 00:00:00
"Eferding";32;2020-04-01 00:00:00
"Eisenstadt(Stadt)";11;2020-04-01 00:00:00
"Eisenstadt-Umgebung";13;2020-04-01 00:00:00
"Feldkirch";175;2020-04-01 00:00:00
"Feldkirchen";11;2020-04-01 00:00:00
"Freistadt";86;2020-04-01 00:00:00
"Gänserndorf";48;2020-04-01 00:00:00
"Gmünd";6;2020-04-01 00:00:00
"Gmunden";52;2020-04-01 00:00:00
"Graz(Stadt)";261;2020-04-01 00:00:00
"Graz-Umgebung";103;2020-04-01 00:00:00
"Grieskirchen";47;2020-04-01 00:00:00
"Gröbming";28;2020-04-01 00:00:00
"Güssing";10;2020-04-01 00:00:00
"Hallein";52;2020-04-01 00:00:00
"Hartberg-Fürstenfeld";202;2020-04-01 00:00:00
"Hermagor";1;2020-04-01 00:00:00
"Hollabrunn";16;2020-04-01 00:00:00
"Horn";15;2020-04-01 00:00:00
"Imst";202;2020-04-01 00:00:00
"Innsbruck-Land";290;2020-04-01 00:00:00
"Innsbruck-Stadt";305;2020-04-01 00:00:00
"Jennersdorf";7;2020-04-01 00:00:00
"Kirchdorf an der Krems";33;2020-04-01 00:00:00
"Kitzbühel";248;2020-04-01 00:00:00
"Klagenfurt Land";32;2020-04-01 00:00:00
"Klagenfurt Stadt";54;2020-04-01 00:00:00
"Korneuburg";109;2020-04-01 00:00:00
"Krems an der Donau(Stadt)";24;2020-04-01 00:00:00
"Krems(Land)";100;2020-04-01 00:00:00
"Kufstein";313;2020-04-01 00:00:00
"Landeck";649;2020-04-01 00:00:00
"Leibnitz";132;2020-04-01 00:00:00
"Leoben";20;2020-04-01 00:00:00
"Lienz";96;2020-04-01 00:00:00
"Liezen";29;2020-04-01 00:00:00
"Lilienfeld";29;2020-04-01 00:00:00
"Linz(Stadt)";211;2020-04-01 00:00:00
"Linz-Land";152;2020-04-01 00:00:00
"Mattersburg";22;2020-04-01 00:00:00
"Melk";98;2020-04-01 00:00:00
"Mistelbach";83;2020-04-01 00:00:00
"Mödling";111;2020-04-01 00:00:00
"Murau";3;2020-04-01 00:00:00
"Murtal";25;2020-04-01 00:00:00
"Neunkirchen";130;2020-04-01 00:00:00
"Neusiedl am See";44;2020-04-01 00:00:00
"Oberpullendorf";16;2020-04-01 00:00:00
"Oberwart";62;2020-04-01 00:00:00
"Perg";222;2020-04-01 00:00:00
"Reutte";42;2020-04-01 00:00:00
"Ried im Innkreis";22;2020-04-01 00:00:00
"Rohrbach";109;2020-04-01 00:00:00
