"nuts2","freq","date"
5,1045,2020-04-03 17:00:00
6,1212,2020-04-03 17:00:00
7,2608,2020-04-03 17:00:00
8,713,2020-04-03 17:00:00
9,1668,2020-04-03 17:00:00
1,206,2020-04-03 18:00:00
2,307,2020-04-03 18:00:00
3,1831,2020-04-03 18:00:00
4,1855,2020-04-03 18:00:00
5,1046,2020-04-03 18:00:00
6,1210,2020-04-03 18:00:00
7,2621,2020-04-03 18:00:00
8,713,2020-04-03 18:00:00
9,1675,2020-04-03 18:00:00
1,207,2020-04-03 19:00:00
2,307,2020-04-03 19:00:00
3,1831,2020-04-03 19:00:00
4,1859,2020-04-03 19:00:00
5,1049,2020-04-03 19:00:00
6,1219,2020-04-03 19:00:00
7,2627,2020-04-03 19:00:00
8,713,2020-04-03 19:00:00
9,1677,2020-04-03 19:00:00
1,210,2020-04-03 20:00:00
2,307,2020-04-03 20:00:00
3,1830,2020-04-03 20:00:00
4,1864,2020-04-03 20:00:00
5,1049,2020-04-03 20:00:00
6,1226,2020-04-03 20:00:00
7,2629,2020-04-03 20:00:00
8,714,2020-04-03 20:00:00
9,1677,2020-04-03 20:00:00
1,210,2020-04-03 21:00:00
2,307,2020-04-03 21:00:00
3,1831,2020-04-03 21:00:00
4,1864,2020-04-03 21:00:00
5,1055,2020-04-03 21:00:00
6,1226,2020-04-03 21:00:00
7,2632,2020-04-03 21:00:00
8,714,2020-04-03 21:00:00
9,1677,2020-04-03 21:00:00
1,210,2020-04-03 22:00:00
2,307,2020-04-03 22:00:00
3,1831,2020-04-03 22:00:00
4,1868,2020-04-03 22:00:00
5,1055,2020-04-03 22:00:00
6,1226,2020-04-03 22:00:00
7,2633,2020-04-03 22:00:00
8,714,2020-04-03 22:00:00
9,1677,2020-04-03 22:00:00
1,210,2020-04-03 23:00:00
2,307,2020-04-03 23:00:00
3,1831,2020-04-03 23:00:00
4,1868,2020-04-03 23:00:00
5,1057,2020-04-03 23:00:00
6,1226,2020-04-03 23:00:00
7,2633,2020-04-03 23:00:00
8,715,2020-04-03 23:00:00
9,1677,2020-04-03 23:00:00
