"nuts2";"freq";"date"
1;198;2020-04-02 00:00:00
2;293;2020-04-02 00:00:00
3;1689;2020-04-02 00:00:00
4;1739;2020-04-02 00:00:00
5;993;2020-04-02 00:00:00
6;1125;2020-04-02 00:00:00
7;2453;2020-04-02 00:00:00
8;674;2020-04-02 00:00:00
9;1547;2020-04-02 00:00:00
1;198;2020-04-02 01:00:00
2;293;2020-04-02 01:00:00
3;1689;2020-04-02 01:00:00
4;1739;2020-04-02 01:00:00
5;993;2020-04-02 01:00:00
6;1125;2020-04-02 01:00:00
7;2453;2020-04-02 01:00:00
8;674;2020-04-02 01:00:00
9;1547;2020-04-02 01:00:00
1;198;2020-04-02 02:00:00
2;293;2020-04-02 02:00:00
3;1689;2020-04-02 02:00:00
4;1739;2020-04-02 02:00:00
5;993;2020-04-02 02:00:00
6;1125;2020-04-02 02:00:00
7;2453;2020-04-02 02:00:00
8;674;2020-04-02 02:00:00
9;1547;2020-04-02 02:00:00
1;198;2020-04-02 03:00:00
2;293;2020-04-02 03:00:00
3;1689;2020-04-02 03:00:00
4;1739;2020-04-02 03:00:00
5;993;2020-04-02 03:00:00
6;1125;2020-04-02 03:00:00
7;2453;2020-04-02 03:00:00
8;674;2020-04-02 03:00:00
9;1547;2020-04-02 03:00:00
1;198;2020-04-02 04:00:00
2;293;2020-04-02 04:00:00
3;1689;2020-04-02 04:00:00
4;1739;2020-04-02 04:00:00
5;993;2020-04-02 04:00:00
6;1125;2020-04-02 04:00:00
7;2453;2020-04-02 04:00:00
8;674;2020-04-02 04:00:00
9;1547;2020-04-02 04:00:00
1;198;2020-04-02 05:00:00
2;293;2020-04-02 05:00:00
3;1689;2020-04-02 05:00:00
4;1739;2020-04-02 05:00:00
5;993;2020-04-02 05:00:00
6;1125;2020-04-02 05:00:00
7;2453;2020-04-02 05:00:00
8;674;2020-04-02 05:00:00
9;1547;2020-04-02 05:00:00
1;198;2020-04-02 06:00:00
2;293;2020-04-02 06:00:00
3;1689;2020-04-02 06:00:00
4;1739;2020-04-02 06:00:00
5;993;2020-04-02 06:00:00
6;1125;2020-04-02 06:00:00
7;2453;2020-04-02 06:00:00
8;674;2020-04-02 06:00:00
9;1547;2020-04-02 06:00:00
1;198;2020-04-02 07:00:00
2;293;2020-04-02 07:00:00
3;1690;2020-04-02 07:00:00
4;1739;2020-04-02 07:00:00
5;993;2020-04-02 07:00:00
6;1125;2020-04-02 07:00:00
7;2453;2020-04-02 07:00:00
8;680;2020-04-02 07:00:00
9;1547;2020-04-02 07:00:00
1;198;2020-04-02 08:00:00
2;295;2020-04-02 08:00:00
3;1717;2020-04-02 08:00:00
4;1739;2020-04-02 08:00:00
5;993;2020-04-02 08:00:00
6;1137;2020-04-02 08:00:00
7;2462;2020-04-02 08:00:00
8;680;2020-04-02 08:00:00
9;1548;2020-04-02 08:00:00
1;199;2020-04-02 09:00:00
2;298;2020-04-02 09:00:00
3;1721;2020-04-02 09:00:00
4;1749;2020-04-02 09:00:00
5;994;2020-04-02 09:00:00
6;1137;2020-04-02 09:00:00
7;2478;2020-04-02 09:00:00
8;680;2020-04-02 09:00:00
9;1553;2020-04-02 09:00:00
1;199;2020-04-02 10:00:00
2;297;2020-04-02 10:00:00
3;1726;2020-04-02 10:00:00
4;1748;2020-04-02 10:00:00
5;993;2020-04-02 10:00:00
6;1135;2020-04-02 10:00:00
7;2511;2020-04-02 10:00:00
8;680;2020-04-02 10:00:00
9;1553;2020-04-02 10:00:00
1;199;2020-04-02 11:00:00
2;297;2020-04-02 11:00:00
3;1733;2020-04-02 11:00:00
4;1754;2020-04-02 11:00:00
5;993;2020-04-02 11:00:00
6;1135;2020-04-02 11:00:00
7;2514;2020-04-02 11:00:00
8;680;2020-04-02 11:00:00
9;1554;2020-04-02 11:00:00
1;201;2020-04-02 12:00:00
2;297;2020-04-02 12:00:00
3;1733;2020-04-02 12:00:00
4;1759;2020-04-02 12:00:00
5;993;2020-04-02 12:00:00
6;1135;2020-04-02 12:00:00
7;2519;2020-04-02 12:00:00
8;680;2020-04-02 12:00:00
9;1560;2020-04-02 12:00:00
1;201;2020-04-02 13:00:00
2;297;2020-04-02 13:00:00
3;1733;2020-04-02 13:00:00
4;1760;2020-04-02 13:00:00
5;994;2020-04-02 13:00:00
6;1146;2020-04-02 13:00:00
7;2520;2020-04-02 13:00:00
8;681;2020-04-02 13:00:00
9;1560;2020-04-02 13:00:00
1;201;2020-04-02 14:00:00
2;301;2020-04-02 14:00:00
3;1735;2020-04-02 14:00:00
4;1774;2020-04-02 14:00:00
5;994;2020-04-02 14:00:00
6;1146;2020-04-02 14:00:00
7;2528;2020-04-02 14:00:00
8;681;2020-04-02 14:00:00
9;1567;2020-04-02 14:00:00
1;201;2020-04-02 15:00:00
2;300;2020-04-02 15:00:00
3;1738;2020-04-02 15:00:00
4;1781;2020-04-02 15:00:00
5;994;2020-04-02 15:00:00
6;1158;2020-04-02 15:00:00
7;2531;2020-04-02 15:00:00
8;681;2020-04-02 15:00:00
9;1583;2020-04-02 15:00:00
1;201;2020-04-02 16:00:00
2;300;2020-04-02 16:00:00
3;1738;2020-04-02 16:00:00
4;1786;2020-04-02 16:00:00
5;995;2020-04-02 16:00:00
6;1161;2020-04-02 16:00:00
7;2537;2020-04-02 16:00:00
8;685;2020-04-02 16:00:00
9;1593;2020-04-02 16:00:00
1;201;2020-04-02 17:00:00
2;300;2020-04-02 17:00:00
3;1740;2020-04-02 17:00:00
4;1790;2020-04-02 17:00:00
5;997;2020-04-02 17:00:00
6;1162;2020-04-02 17:00:00
7;2540;2020-04-02 17:00:00
8;694;2020-04-02 17:00:00
9;1603;2020-04-02 17:00:00
1;202;2020-04-02 18:00:00
2;300;2020-04-02 18:00:00
3;1740;2020-04-02 18:00:00
4;1796;2020-04-02 18:00:00
5;997;2020-04-02 18:00:00
6;1166;2020-04-02 18:00:00
7;2562;2020-04-02 18:00:00
8;694;2020-04-02 18:00:00
9;1606;2020-04-02 18:00:00
1;203;2020-04-02 19:00:00
2;300;2020-04-02 19:00:00
3;1741;2020-04-02 19:00:00
4;1799;2020-04-02 19:00:00
5;997;2020-04-02 19:00:00
6;1169;2020-04-02 19:00:00
7;2567;2020-04-02 19:00:00
8;693;2020-04-02 19:00:00
9;1607;2020-04-02 19:00:00
1;203;2020-04-02 20:00:00
2;300;2020-04-02 20:00:00
3;1744;2020-04-02 20:00:00
4;1804;2020-04-02 20:00:00
5;1017;2020-04-02 20:00:00
6;1169;2020-04-02 20:00:00
7;2569;2020-04-02 20:00:00
8;693;2020-04-02 20:00:00
9;1607;2020-04-02 20:00:00
1;203;2020-04-02 21:00:00
2;300;2020-04-02 21:00:00
3;1744;2020-04-02 21:00:00
4;1804;2020-04-02 21:00:00
5;1017;2020-04-02 21:00:00
6;1169;2020-04-02 21:00:00
7;2569;2020-04-02 21:00:00
8;695;2020-04-02 21:00:00
9;1607;2020-04-02 21:00:00
1;203;2020-04-02 22:00:00
2;300;2020-04-02 22:00:00
3;1745;2020-04-02 22:00:00
4;1804;2020-04-02 22:00:00
5;1031;2020-04-02 22:00:00
6;1169;2020-04-02 22:00:00
7;2569;2020-04-02 22:00:00
8;695;2020-04-02 22:00:00
9;1607;2020-04-02 22:00:00
1;203;2020-04-02 23:00:00
2;300;2020-04-02 23:00:00
3;1746;2020-04-02 23:00:00
4;1805;2020-04-02 23:00:00
5;1033;2020-04-02 23:00:00
6;1169;2020-04-02 23:00:00
7;2569;2020-04-02 23:00:00
8;697;2020-04-02 23:00:00
9;1607;2020-04-02 23:00:00
