"bundesland","freq","date"
"W",1547,2020-04-02 00:00:00
"Vbg",674,2020-04-02 00:00:00
"T",2453,2020-04-02 00:00:00
"Stmk",1125,2020-04-02 00:00:00
"Sbg",993,2020-04-02 00:00:00
"OÖ",1739,2020-04-02 00:00:00
"NÖ",1689,2020-04-02 00:00:00
"Ktn",293,2020-04-02 00:00:00
"Bgld",198,2020-04-02 00:00:00
"W",1547,2020-04-02 01:00:00
"Vbg",674,2020-04-02 01:00:00
"T",2453,2020-04-02 01:00:00
"Stmk",1125,2020-04-02 01:00:00
"Sbg",993,2020-04-02 01:00:00
"OÖ",1739,2020-04-02 01:00:00
"NÖ",1689,2020-04-02 01:00:00
"Ktn",293,2020-04-02 01:00:00
"Bgld",198,2020-04-02 01:00:00
"W",1547,2020-04-02 02:00:00
"Vbg",674,2020-04-02 02:00:00
"T",2453,2020-04-02 02:00:00
"Stmk",1125,2020-04-02 02:00:00
"Sbg",993,2020-04-02 02:00:00
"OÖ",1739,2020-04-02 02:00:00
"NÖ",1689,2020-04-02 02:00:00
"Ktn",293,2020-04-02 02:00:00
"Bgld",198,2020-04-02 02:00:00
"W",1547,2020-04-02 03:00:00
"Vbg",674,2020-04-02 03:00:00
"T",2453,2020-04-02 03:00:00
"Stmk",1125,2020-04-02 03:00:00
"Sbg",993,2020-04-02 03:00:00
"OÖ",1739,2020-04-02 03:00:00
"NÖ",1689,2020-04-02 03:00:00
"Ktn",293,2020-04-02 03:00:00
"Bgld",198,2020-04-02 03:00:00
"W",1547,2020-04-02 04:00:00
"Vbg",674,2020-04-02 04:00:00
"T",2453,2020-04-02 04:00:00
"Stmk",1125,2020-04-02 04:00:00
"Sbg",993,2020-04-02 04:00:00
"OÖ",1739,2020-04-02 04:00:00
"NÖ",1689,2020-04-02 04:00:00
"Ktn",293,2020-04-02 04:00:00
"Bgld",198,2020-04-02 04:00:00
"W",1547,2020-04-02 05:00:00
"Vbg",674,2020-04-02 05:00:00
"T",2453,2020-04-02 05:00:00
"Stmk",1125,2020-04-02 05:00:00
"Sbg",993,2020-04-02 05:00:00
"OÖ",1739,2020-04-02 05:00:00
