"altersgruppe";"freq";"date"
"<5";55;"20200406_230000"
"5-14";284;"20200406_230000"
"15-24";1138;"20200406_230000"
"25-34";1758;"20200406_230000"
"35-44";1771;"20200406_230000"
"45-54";2615;"20200406_230000"
"55-64";2089;"20200406_230000"
">64";2587;"20200406_230000"
