"altersgruppe","freq","date"
"<5",71,"20200414_090000"
"5-14",315,"20200414_090000"
"15-24",1320,"20200414_090000"
"25-34",1959,"20200414_090000"
"35-44",1973,"20200414_090000"
"45-54",2982,"20200414_090000"
"55-64",2382,"20200414_090000"
">64",3081,"20200414_090000"
