"nuts2","freq","date"
1,270,"20200414_110000"
2,386,"20200414_110000"
3,2380,"20200414_110000"
4,2135,"20200414_110000"
5,1173,"20200414_110000"
6,1578,"20200414_110000"
7,3317,"20200414_110000"
8,832,"20200414_110000"
9,2035,"20200414_110000"
