"nuts2";"freq";"date"
1;261;"20200412_180000"
2;385;"20200412_180000"
3;2324;"20200412_180000"
4;2122;"20200412_180000"
5;1169;"20200412_180000"
6;1553;"20200412_180000"
7;3278;"20200412_180000"
8;831;"20200412_180000"
9;2003;"20200412_180000"
