"altersgruppe";"freq";"date"
"45-54";689;2020-03-22 00:00:00
"55-64";475;2020-03-22 00:00:00
">64";508;2020-03-22 00:00:00
"<5";6;2020-03-22 00:15:00
"5-14";35;2020-03-22 00:15:00
"15-24";308;2020-03-22 00:15:00
"25-34";515;2020-03-22 00:15:00
"35-44";482;2020-03-22 00:15:00
"45-54";689;2020-03-22 00:15:00
"55-64";475;2020-03-22 00:15:00
">64";508;2020-03-22 00:15:00
"<5";6;2020-03-22 00:30:00
"5-14";35;2020-03-22 00:30:00
"15-24";308;2020-03-22 00:30:00
"25-34";515;2020-03-22 00:30:00
"35-44";482;2020-03-22 00:30:00
"45-54";689;2020-03-22 00:30:00
"55-64";475;2020-03-22 00:30:00
">64";508;2020-03-22 00:30:00
"<5";6;2020-03-22 00:45:00
"5-14";35;2020-03-22 00:45:00
"15-24";308;2020-03-22 00:45:00
"25-34";515;2020-03-22 00:45:00
"35-44";482;2020-03-22 00:45:00
"45-54";689;2020-03-22 00:45:00
"55-64";475;2020-03-22 00:45:00
">64";508;2020-03-22 00:45:00
"<5";6;2020-03-22 01:00:00
"5-14";35;2020-03-22 01:00:00
"15-24";309;2020-03-22 01:00:00
"25-34";515;2020-03-22 01:00:00
"35-44";482;2020-03-22 01:00:00
"45-54";689;2020-03-22 01:00:00
"55-64";475;2020-03-22 01:00:00
">64";510;2020-03-22 01:00:00
"<5";6;2020-03-22 01:15:00
"5-14";35;2020-03-22 01:15:00
"15-24";309;2020-03-22 01:15:00
"25-34";515;2020-03-22 01:15:00
"35-44";482;2020-03-22 01:15:00
"45-54";689;2020-03-22 01:15:00
"55-64";475;2020-03-22 01:15:00
">64";510;2020-03-22 01:15:00
"<5";6;2020-03-22 01:30:00
"5-14";35;2020-03-22 01:30:00
"15-24";309;2020-03-22 01:30:00
"25-34";515;2020-03-22 01:30:00
"35-44";482;2020-03-22 01:30:00
"45-54";689;2020-03-22 01:30:00
"55-64";475;2020-03-22 01:30:00
">64";510;2020-03-22 01:30:00
"<5";6;2020-03-22 01:45:00
"5-14";35;2020-03-22 01:45:00
"15-24";309;2020-03-22 01:45:00
"25-34";515;2020-03-22 01:45:00
"35-44";482;2020-03-22 01:45:00
"45-54";689;2020-03-22 01:45:00
