"datum";"freq"
2020-03-02;19
2020-03-03;28
2020-03-04;41
2020-03-05;57
2020-03-06;78
2020-03-07;95
2020-03-08;126
2020-03-09;151
2020-03-10;216
2020-03-11;322
2020-03-12;448
2020-03-13;638
2020-03-14;822
2020-03-15;1031
2020-03-16;1318
2020-03-17;1665
2020-03-18;2087
2020-03-19;2558
2020-03-20;3091
2020-03-21;3537
2020-03-22;4169
2020-03-23;4976
2020-03-24;5770
2020-03-25;6419
2020-03-26;7370
2020-03-27;8161
2020-03-28;8699
2020-03-29;9123
2020-03-30;9716
