"datum","freq"
2020-03-16,1328
2020-03-17,1678
2020-03-18,2103
2020-03-19,2575
2020-03-20,3118
2020-03-21,3566
2020-03-22,4204
2020-03-23,5021
2020-03-24,5827
2020-03-25,6492
2020-03-26,7454
2020-03-27,8253
2020-03-28,8823
2020-03-29,9286
2020-03-30,9990
2020-03-31,10554
2020-04-01,11047
2020-04-02,11432
2020-04-03,11815
2020-04-04,12101
2020-04-05,12292
2020-04-06,12547
2020-04-07,12875
2020-04-08,13113
2020-04-09,13373
2020-04-10,13678
2020-04-11,13898
2020-04-12,14006
2020-04-13,14085
