"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
4474;148;16;NA;2020-03-23 22:30:00
4474;148;16;NA;2020-03-23 22:45:00
4474;148;16;NA;2020-03-23 23:00:00
4474;149;16;NA;2020-03-23 23:15:00
4474;150;16;NA;2020-03-23 23:30:00
4474;150;16;NA;2020-03-23 23:45:00
4474;150;16;NA;2020-03-24 00:00:00
4474;150;16;NA;2020-03-24 00:15:00
4474;150;16;NA;2020-03-24 00:30:00
4474;150;16;NA;2020-03-24 00:45:00
4474;150;16;NA;2020-03-24 01:00:00
4474;150;16;NA;2020-03-24 01:15:00
4474;150;16;NA;2020-03-24 01:30:00
4474;150;16;NA;2020-03-24 01:45:00
4474;150;16;NA;2020-03-24 02:00:00
4474;150;16;NA;2020-03-24 02:15:00
4474;150;16;NA;2020-03-24 02:30:00
4474;150;16;NA;2020-03-24 02:45:00
4474;150;16;NA;2020-03-24 03:00:00
4474;150;16;NA;2020-03-24 03:15:00
4474;150;16;NA;2020-03-24 03:30:00
4474;150;16;NA;2020-03-24 03:45:00
4474;150;16;NA;2020-03-24 04:00:00
4474;150;16;NA;2020-03-24 04:15:00
4474;150;16;NA;2020-03-24 04:30:00
4474;150;16;NA;2020-03-24 04:45:00
4474;150;16;NA;2020-03-24 05:00:00
4474;150;16;NA;2020-03-24 05:15:00
4474;150;16;NA;2020-03-24 05:30:00
4474;150;16;NA;2020-03-24 05:45:00
4474;150;16;NA;2020-03-24 06:00:00
4474;150;16;NA;2020-03-24 06:15:00
4474;150;16;NA;2020-03-24 06:30:00
4476;150;16;NA;2020-03-24 06:45:00
4477;150;16;NA;2020-03-24 07:00:00
4477;151;16;NA;2020-03-24 07:15:00
4477;151;16;NA;2020-03-24 07:30:00
4479;152;16;NA;2020-03-24 07:45:00
4486;152;16;NA;2020-03-24 08:00:00
4493;152;16;NA;2020-03-24 08:15:00
4517;152;16;NA;2020-03-24 08:30:00
4517;152;16;NA;2020-03-24 08:45:00
4520;152;16;NA;2020-03-24 09:00:00
4538;154;16;NA;2020-03-24 09:15:00
4558;154;16;NA;2020-03-24 09:30:00
4578;155;16;NA;2020-03-24 09:45:00
4628;157;16;NA;2020-03-24 10:00:00
4668;159;16;NA;2020-03-24 10:15:00
4669;159;16;NA;2020-03-24 10:30:00
4672;161;16;NA;2020-03-24 10:45:00
4742;163;16;NA;2020-03-24 11:00:00
4755;166;17;NA;2020-03-24 11:15:00
4767;166;17;NA;2020-03-24 11:30:00
4769;167;17;NA;2020-03-24 11:45:00
4782;170;17;NA;2020-03-24 12:00:00
4791;172;17;NA;2020-03-24 12:15:00
4791;173;17;NA;2020-03-24 12:30:00
4796;176;18;NA;2020-03-24 12:45:00
4809;179;18;NA;2020-03-24 13:00:00
4829;180;18;NA;2020-03-24 13:15:00
4833;182;18;NA;2020-03-24 13:30:00
4839;184;18;NA;2020-03-24 13:45:00
4846;186;18;NA;2020-03-24 14:00:00
4853;188;18;NA;2020-03-24 14:15:00
4876;190;19;NA;2020-03-24 14:30:00
4910;192;20;NA;2020-03-24 14:45:00
4926;192;20;NA;2020-03-24 15:00:00
4947;193;20;NA;2020-03-24 15:15:00
4960;197;20;NA;2020-03-24 15:30:00
4971;197;20;NA;2020-03-24 15:45:00
4992;198;20;NA;2020-03-24 16:00:00
5010;203;22;NA;2020-03-24 16:15:00
5028;204;22;NA;2020-03-24 16:30:00
5034;204;22;NA;2020-03-24 16:45:00
5037;205;22;NA;2020-03-24 17:00:00
5038;206;22;NA;2020-03-24 17:15:00
5048;206;22;NA;2020-03-24 17:30:00
5058;207;23;NA;2020-03-24 17:45:00
5076;209;23;NA;2020-03-24 18:00:00
5085;209;23;NA;2020-03-24 18:15:00
5115;209;23;NA;2020-03-24 18:30:00
5118;209;23;NA;2020-03-24 18:45:00
5122;209;23;NA;2020-03-24 19:00:00
5137;210;24;NA;2020-03-24 19:15:00
5153;211;24;NA;2020-03-24 19:30:00
