"altersgruppe","freq","date"
"<5",57,2020-04-08 00:00:00
"5-14",287,2020-04-08 00:00:00
"15-24",1173,2020-04-08 00:00:00
"25-34",1790,2020-04-08 00:00:00
"35-44",1806,2020-04-08 00:00:00
"45-54",2680,2020-04-08 00:00:00
"55-64",2150,2020-04-08 00:00:00
">64",2696,2020-04-08 00:00:00
"<5",57,2020-04-08 01:00:00
"5-14",286,2020-04-08 01:00:00
"15-24",1173,2020-04-08 01:00:00
"25-34",1790,2020-04-08 01:00:00
"35-44",1807,2020-04-08 01:00:00
"45-54",2679,2020-04-08 01:00:00
"55-64",2151,2020-04-08 01:00:00
">64",2696,2020-04-08 01:00:00
"<5",57,2020-04-08 02:00:00
"5-14",286,2020-04-08 02:00:00
"15-24",1174,2020-04-08 02:00:00
"25-34",1790,2020-04-08 02:00:00
"35-44",1807,2020-04-08 02:00:00
"45-54",2679,2020-04-08 02:00:00
"55-64",2151,2020-04-08 02:00:00
">64",2696,2020-04-08 02:00:00
"<5",57,2020-04-08 03:00:00
"5-14",286,2020-04-08 03:00:00
"15-24",1174,2020-04-08 03:00:00
"25-34",1790,2020-04-08 03:00:00
"35-44",1807,2020-04-08 03:00:00
"45-54",2679,2020-04-08 03:00:00
"55-64",2151,2020-04-08 03:00:00
">64",2696,2020-04-08 03:00:00
"<5",57,2020-04-08 04:00:00
"5-14",286,2020-04-08 04:00:00
"15-24",1174,2020-04-08 04:00:00
"25-34",1790,2020-04-08 04:00:00
"35-44",1807,2020-04-08 04:00:00
"45-54",2679,2020-04-08 04:00:00
"55-64",2151,2020-04-08 04:00:00
">64",2696,2020-04-08 04:00:00
"<5",57,2020-04-08 05:00:00
"5-14",286,2020-04-08 05:00:00
"15-24",1174,2020-04-08 05:00:00
"25-34",1790,2020-04-08 05:00:00
"35-44",1807,2020-04-08 05:00:00
"45-54",2679,2020-04-08 05:00:00
"55-64",2151,2020-04-08 05:00:00
">64",2696,2020-04-08 05:00:00
"<5",57,2020-04-08 06:00:00
"5-14",286,2020-04-08 06:00:00
"15-24",1174,2020-04-08 06:00:00
"25-34",1790,2020-04-08 06:00:00
"35-44",1807,2020-04-08 06:00:00
"45-54",2679,2020-04-08 06:00:00
"55-64",2151,2020-04-08 06:00:00
">64",2696,2020-04-08 06:00:00
"<5",57,2020-04-08 07:00:00
"5-14",286,2020-04-08 07:00:00
"15-24",1174,2020-04-08 07:00:00
"25-34",1790,2020-04-08 07:00:00
"35-44",1807,2020-04-08 07:00:00
"45-54",2679,2020-04-08 07:00:00
"55-64",2151,2020-04-08 07:00:00
">64",2696,2020-04-08 07:00:00
"<5",58,2020-04-08 08:00:00
"5-14",286,2020-04-08 08:00:00
"15-24",1179,2020-04-08 08:00:00
"25-34",1791,2020-04-08 08:00:00
"35-44",1809,2020-04-08 08:00:00
"45-54",2685,2020-04-08 08:00:00
"55-64",2160,2020-04-08 08:00:00
">64",2707,2020-04-08 08:00:00
"<5",58,2020-04-08 09:00:00
"5-14",287,2020-04-08 09:00:00
"15-24",1183,2020-04-08 09:00:00
"25-34",1793,2020-04-08 09:00:00
"35-44",1815,2020-04-08 09:00:00
"45-54",2693,2020-04-08 09:00:00
"55-64",2163,2020-04-08 09:00:00
">64",2717,2020-04-08 09:00:00
"<5",58,2020-04-08 10:00:00
"5-14",287,2020-04-08 10:00:00
"15-24",1182,2020-04-08 10:00:00
"25-34",1793,2020-04-08 10:00:00
"35-44",1816,2020-04-08 10:00:00
"45-54",2700,2020-04-08 10:00:00
"55-64",2164,2020-04-08 10:00:00
">64",2721,2020-04-08 10:00:00
"<5",58,2020-04-08 12:00:00
"5-14",288,2020-04-08 12:00:00
"15-24",1184,2020-04-08 12:00:00
"25-34",1794,2020-04-08 12:00:00
"35-44",1819,2020-04-08 12:00:00
"45-54",2702,2020-04-08 12:00:00
"55-64",2167,2020-04-08 12:00:00
">64",2726,2020-04-08 12:00:00
"<5",59,2020-04-08 13:00:00
"5-14",288,2020-04-08 13:00:00
"15-24",1187,2020-04-08 13:00:00
"25-34",1799,2020-04-08 13:00:00
"35-44",1825,2020-04-08 13:00:00
"45-54",2711,2020-04-08 13:00:00
"55-64",2170,2020-04-08 13:00:00
">64",2743,2020-04-08 13:00:00
"<5",59,2020-04-08 14:00:00
"5-14",292,2020-04-08 14:00:00
"15-24",1192,2020-04-08 14:00:00
"25-34",1807,2020-04-08 14:00:00
"35-44",1828,2020-04-08 14:00:00
"45-54",2723,2020-04-08 14:00:00
"55-64",2176,2020-04-08 14:00:00
">64",2747,2020-04-08 14:00:00
"<5",59,2020-04-08 15:00:00
"5-14",293,2020-04-08 15:00:00
"15-24",1195,2020-04-08 15:00:00
"25-34",1813,2020-04-08 15:00:00
"35-44",1832,2020-04-08 15:00:00
"45-54",2729,2020-04-08 15:00:00
"55-64",2180,2020-04-08 15:00:00
">64",2751,2020-04-08 15:00:00
