"bundesland";"freq";"date"
"W";1820;2020-04-08 00:00:00
"Vbg";784;2020-04-08 00:00:00
"T";2857;2020-04-08 00:00:00
"Stmk";1396;2020-04-08 00:00:00
"Sbg";1119;2020-04-08 00:00:00
"OÖ";2008;2020-04-08 00:00:00
"NÖ";2079;2020-04-08 00:00:00
"Ktn";341;2020-04-08 00:00:00
"Bgld";235;2020-04-08 00:00:00
"W";1820;2020-04-08 01:00:00
"Vbg";784;2020-04-08 01:00:00
"T";2857;2020-04-08 01:00:00
"Stmk";1396;2020-04-08 01:00:00
"Sbg";1119;2020-04-08 01:00:00
"OÖ";2008;2020-04-08 01:00:00
"NÖ";2079;2020-04-08 01:00:00
"Ktn";341;2020-04-08 01:00:00
"Bgld";235;2020-04-08 01:00:00
"W";1820;2020-04-08 02:00:00
"Vbg";784;2020-04-08 02:00:00
"T";2857;2020-04-08 02:00:00
"Stmk";1396;2020-04-08 02:00:00
"Sbg";1120;2020-04-08 02:00:00
"OÖ";2008;2020-04-08 02:00:00
"NÖ";2079;2020-04-08 02:00:00
"Ktn";341;2020-04-08 02:00:00
"Bgld";235;2020-04-08 02:00:00
"W";1820;2020-04-08 03:00:00
"Vbg";784;2020-04-08 03:00:00
"T";2857;2020-04-08 03:00:00
"Stmk";1396;2020-04-08 03:00:00
"Sbg";1120;2020-04-08 03:00:00
"OÖ";2008;2020-04-08 03:00:00
"NÖ";2079;2020-04-08 03:00:00
"Ktn";341;2020-04-08 03:00:00
"Bgld";235;2020-04-08 03:00:00
"W";1820;2020-04-08 04:00:00
"Vbg";784;2020-04-08 04:00:00
"T";2857;2020-04-08 04:00:00
"Stmk";1396;2020-04-08 04:00:00
"Sbg";1120;2020-04-08 04:00:00
"OÖ";2008;2020-04-08 04:00:00
"NÖ";2079;2020-04-08 04:00:00
"Ktn";341;2020-04-08 04:00:00
"Bgld";235;2020-04-08 04:00:00
"W";1820;2020-04-08 05:00:00
"Vbg";784;2020-04-08 05:00:00
"T";2857;2020-04-08 05:00:00
"Stmk";1396;2020-04-08 05:00:00
"Sbg";1120;2020-04-08 05:00:00
"OÖ";2008;2020-04-08 05:00:00
"NÖ";2079;2020-04-08 05:00:00
"Ktn";341;2020-04-08 05:00:00
"Bgld";235;2020-04-08 05:00:00
"W";1820;2020-04-08 06:00:00
"Vbg";784;2020-04-08 06:00:00
"T";2857;2020-04-08 06:00:00
"Stmk";1396;2020-04-08 06:00:00
"Sbg";1120;2020-04-08 06:00:00
"OÖ";2008;2020-04-08 06:00:00
"NÖ";2079;2020-04-08 06:00:00
"Ktn";341;2020-04-08 06:00:00
"Bgld";235;2020-04-08 06:00:00
"W";1820;2020-04-08 07:00:00
"Vbg";784;2020-04-08 07:00:00
"T";2857;2020-04-08 07:00:00
"Stmk";1396;2020-04-08 07:00:00
"Sbg";1120;2020-04-08 07:00:00
"OÖ";2008;2020-04-08 07:00:00
"NÖ";2079;2020-04-08 07:00:00
"Ktn";341;2020-04-08 07:00:00
"Bgld";235;2020-04-08 07:00:00
"W";1824;2020-04-08 08:00:00
"Vbg";784;2020-04-08 08:00:00
"T";2857;2020-04-08 08:00:00
"Stmk";1396;2020-04-08 08:00:00
"Sbg";1120;2020-04-08 08:00:00
"OÖ";2008;2020-04-08 08:00:00
"NÖ";2103;2020-04-08 08:00:00
"Ktn";341;2020-04-08 08:00:00
"Bgld";242;2020-04-08 08:00:00
"W";1826;2020-04-08 09:00:00
"Vbg";788;2020-04-08 09:00:00
"T";2860;2020-04-08 09:00:00
"Stmk";1399;2020-04-08 09:00:00
"Sbg";1120;2020-04-08 09:00:00
"OÖ";2021;2020-04-08 09:00:00
"NÖ";2112;2020-04-08 09:00:00
"Ktn";341;2020-04-08 09:00:00
"Bgld";242;2020-04-08 09:00:00
"W";1827;2020-04-08 10:00:00
"Vbg";791;2020-04-08 10:00:00
"T";2870;2020-04-08 10:00:00
"Stmk";1399;2020-04-08 10:00:00
"Sbg";1119;2020-04-08 10:00:00
"OÖ";2021;2020-04-08 10:00:00
"NÖ";2111;2020-04-08 10:00:00
"Ktn";341;2020-04-08 10:00:00
"Bgld";242;2020-04-08 10:00:00
"W";1827;2020-04-08 12:00:00
"Vbg";792;2020-04-08 12:00:00
"T";2880;2020-04-08 12:00:00
"Stmk";1402;2020-04-08 12:00:00
"Sbg";1119;2020-04-08 12:00:00
"OÖ";2023;2020-04-08 12:00:00
"NÖ";2112;2020-04-08 12:00:00
"Ktn";341;2020-04-08 12:00:00
"Bgld";242;2020-04-08 12:00:00
"W";1831;2020-04-08 13:00:00
"Vbg";792;2020-04-08 13:00:00
"T";2891;2020-04-08 13:00:00
"Stmk";1414;2020-04-08 13:00:00
"Sbg";1119;2020-04-08 13:00:00
"OÖ";2034;2020-04-08 13:00:00
"NÖ";2113;2020-04-08 13:00:00
"Ktn";346;2020-04-08 13:00:00
"Bgld";242;2020-04-08 13:00:00
"W";1844;2020-04-08 14:00:00
"Vbg";792;2020-04-08 14:00:00
"T";2897;2020-04-08 14:00:00
"Stmk";1423;2020-04-08 14:00:00
"Sbg";1119;2020-04-08 14:00:00
"OÖ";2035;2020-04-08 14:00:00
"NÖ";2119;2020-04-08 14:00:00
"Ktn";353;2020-04-08 14:00:00
"Bgld";242;2020-04-08 14:00:00
"W";1860;2020-04-08 15:00:00
"Vbg";793;2020-04-08 15:00:00
"T";2903;2020-04-08 15:00:00
"Stmk";1423;2020-04-08 15:00:00
"Sbg";1119;2020-04-08 15:00:00
"OÖ";2037;2020-04-08 15:00:00
"NÖ";2122;2020-04-08 15:00:00
"Ktn";353;2020-04-08 15:00:00
"Bgld";242;2020-04-08 15:00:00
