"datum";"freq"
"26.02";2
"27.02";5
"28.02";11
"29.02";11
"01.03";14
"02.03";19
"03.03";27
"04.03";40
"05.03";56
"06.03";77
"07.03";94
"08.03";125
"09.03";151
"10.03";217
"11.03";314
"12.03";439
"13.03";622
"14.03";800
"15.03";1008
"16.03";1293
"17.03";1625
"18.03";1996
"19.03";2388
"20.03";2755
