"bundesland","freq","date"
"Bgld",116,2020-03-26 17:22:58
"Ktn",188,2020-03-26 17:22:58
"NÖ",918,2020-03-26 17:22:58
"OÖ",1102,2020-03-26 17:22:58
"Sbg",627,2020-03-26 17:22:58
"Stmk",740,2020-03-26 17:22:58
"T",1647,2020-03-26 17:22:58
"Vbg",435,2020-03-26 17:22:58
"W",899,2020-03-26 17:22:58
"Bgld",116,2020-03-26 18:00:00
"Ktn",188,2020-03-26 18:00:00
"NÖ",920,2020-03-26 18:00:00
"OÖ",1111,2020-03-26 18:00:00
"Sbg",627,2020-03-26 18:00:00
"Stmk",740,2020-03-26 18:00:00
"T",1657,2020-03-26 18:00:00
"Vbg",443,2020-03-26 18:00:00
"W",901,2020-03-26 18:00:00
"Bgld",117,2020-03-26 19:00:00
"Ktn",188,2020-03-26 19:00:00
"NÖ",967,2020-03-26 19:00:00
"OÖ",1143,2020-03-26 19:00:00
"Sbg",641,2020-03-26 19:00:00
"Stmk",743,2020-03-26 19:00:00
"T",1664,2020-03-26 19:00:00
"Vbg",443,2020-03-26 19:00:00
"W",910,2020-03-26 19:00:00
"Bgld",117,2020-03-26 20:00:00
"Ktn",188,2020-03-26 20:00:00
"NÖ",986,2020-03-26 20:00:00
"OÖ",1149,2020-03-26 20:00:00
"Sbg",641,2020-03-26 20:00:00
"Stmk",743,2020-03-26 20:00:00
"T",1664,2020-03-26 20:00:00
"Vbg",447,2020-03-26 20:00:00
"W",912,2020-03-26 20:00:00
"Bgld",117,2020-03-26 21:00:00
"Ktn",188,2020-03-26 21:00:00
"NÖ",986,2020-03-26 21:00:00
"OÖ",1149,2020-03-26 21:00:00
"Sbg",647,2020-03-26 21:00:00
"Stmk",743,2020-03-26 21:00:00
"T",1665,2020-03-26 21:00:00
"Vbg",447,2020-03-26 21:00:00
"W",914,2020-03-26 21:00:00
"Bgld",117,2020-03-26 22:00:00
"Ktn",188,2020-03-26 22:00:00
"NÖ",986,2020-03-26 22:00:00
"OÖ",1149,2020-03-26 22:00:00
"Sbg",647,2020-03-26 22:00:00
"Stmk",743,2020-03-26 22:00:00
"T",1665,2020-03-26 22:00:00
"Vbg",456,2020-03-26 22:00:00
"W",914,2020-03-26 22:00:00
"Bgld",117,2020-03-26 23:00:00
"Ktn",188,2020-03-26 23:00:00
"NÖ",986,2020-03-26 23:00:00
"OÖ",1149,2020-03-26 23:00:00
"Sbg",680,2020-03-26 23:00:00
"Stmk",743,2020-03-26 23:00:00
"T",1665,2020-03-26 23:00:00
"Vbg",456,2020-03-26 23:00:00
"W",914,2020-03-26 23:00:00
