"altersgruppe","freq","date"
"<5",16,2020-03-25 00:00:00
"5-14",81,2020-03-25 00:00:00
"15-24",489,2020-03-25 00:00:00
"25-34",851,2020-03-25 00:00:00
"35-44",808,2020-03-25 00:00:00
"45-54",1169,2020-03-25 00:00:00
"55-64",888,2020-03-25 00:00:00
">64",962,2020-03-25 00:00:00
"<5",16,2020-03-25 00:15:00
"5-14",80,2020-03-25 00:15:00
"15-24",490,2020-03-25 00:15:00
"25-34",851,2020-03-25 00:15:00
"35-44",808,2020-03-25 00:15:00
"45-54",1168,2020-03-25 00:15:00
"55-64",888,2020-03-25 00:15:00
">64",963,2020-03-25 00:15:00
"<5",16,2020-03-25 00:30:00
"5-14",80,2020-03-25 00:30:00
"15-24",490,2020-03-25 00:30:00
"25-34",851,2020-03-25 00:30:00
"35-44",808,2020-03-25 00:30:00
"45-54",1168,2020-03-25 00:30:00
"55-64",888,2020-03-25 00:30:00
">64",963,2020-03-25 00:30:00
"<5",16,2020-03-25 00:45:00
"5-14",80,2020-03-25 00:45:00
"15-24",490,2020-03-25 00:45:00
"25-34",851,2020-03-25 00:45:00
"35-44",808,2020-03-25 00:45:00
"45-54",1168,2020-03-25 00:45:00
"55-64",888,2020-03-25 00:45:00
">64",963,2020-03-25 00:45:00
"<5",16,2020-03-25 01:00:00
"5-14",80,2020-03-25 01:00:00
"15-24",490,2020-03-25 01:00:00
"25-34",851,2020-03-25 01:00:00
"35-44",808,2020-03-25 01:00:00
"45-54",1168,2020-03-25 01:00:00
"55-64",888,2020-03-25 01:00:00
">64",963,2020-03-25 01:00:00
"<5",16,2020-03-25 01:15:00
"5-14",80,2020-03-25 01:15:00
"15-24",490,2020-03-25 01:15:00
"25-34",851,2020-03-25 01:15:00
"35-44",808,2020-03-25 01:15:00
"45-54",1168,2020-03-25 01:15:00
"55-64",888,2020-03-25 01:15:00
">64",963,2020-03-25 01:15:00
"<5",16,2020-03-25 01:30:00
"5-14",80,2020-03-25 01:30:00
"15-24",490,2020-03-25 01:30:00
"25-34",851,2020-03-25 01:30:00
"35-44",808,2020-03-25 01:30:00
"45-54",1168,2020-03-25 01:30:00
"55-64",888,2020-03-25 01:30:00
">64",963,2020-03-25 01:30:00
"<5",16,2020-03-25 01:45:00
"5-14",80,2020-03-25 01:45:00
"15-24",490,2020-03-25 01:45:00
"25-34",851,2020-03-25 01:45:00
"35-44",808,2020-03-25 01:45:00
"45-54",1168,2020-03-25 01:45:00
"55-64",888,2020-03-25 01:45:00
">64",963,2020-03-25 01:45:00
"<5",16,2020-03-25 02:00:00
"5-14",80,2020-03-25 02:00:00
"15-24",490,2020-03-25 02:00:00
"25-34",851,2020-03-25 02:00:00
"35-44",808,2020-03-25 02:00:00
"45-54",1168,2020-03-25 02:00:00
